episode#1st edition#2nd edition#3rd edition#4th edition
1#5 689 616 (march 3 , 2007)#3 490 226 (september 8 , 2007)#3 882 171 (march 8 , 2008)#2 902 586 (september 6 , 2008)
2#5 034 580 (march 10 , 2007)#3 988 506 (september 15 , 2007)#3 721 652 (march 15 , 2008)#2 915 086 (september 13 , 2008)
3#4 824 807 (march 17 , 2007)#3 719 651 (september 22 , 2007)#3 691 033 (march 22 , 2008)#3 516 900 (september 20 , 2008)
4#4 598 613 (march 24 , 2007)#3 887 115 (september 29 , 2007)#3 869 518 (march 29 , 2008)#3 056 273 (september 27 , 2008)
5#4 565 689 (march 31 , 2007)#4 230 733 (october 6 , 2007)#4 049 315 (april 5 , 2008)#3 172 681 (4 pctober 2008)
6#4 134 708 (april 14 , 2007)#4 231 970 (october 20 , 2007)#3 787 760 (april 12 , 2008)#2 870 249 (october 11 , 2008)
7#3 798 140 (april 21 , 2007)#4 210 394 (october 27 , 2007)#3 643 252 (april 19 , 2008)#2 846 947 (october 18 , 2008)
8#4 244 063 (april 28 , 2007)#4 309 850 (november 3 , 2007)#3 611 380 (april 26 , 2008)#3 038 753 (october 25 , 2008)
9#4 204 654 (may 5 , 2007)#4 049 478 (november 10 , 2007)#3 182 446 (may 3 , 2008)#3 498 515 (november 8 , 2008)
10#4 726 703 (may 12 , 2007)#3 853 187 (november 24 , 2007)#3 128 871 (may 10 , 2008)#3 377 363 (november 8 , 2008)
11#3 949 779 (may 19 , 2007)#4 216 436 (december 1 , 2007)#3 383 989 (may 17 , 2008)#3 351 051 (november 22 , 2008)
12#3 708 186 (may 26 , 2007)#4 311 673 (december 8 , 2007)#3 351 302 (may 24 , 2008)#3 121 808 (november 29 , 2008)
13#4 977 556 (june 2 , 2007)#4 758 730 (december 15 , 2007)#3 284 740 (may 31 , 2008)#4 255 764 (december 6 , 2008)
average viewing#4 507 262#4 109 762#3 583 305#3 234 688
