round#pick#overall#name#position#college
1#22#22#don mccauley#running back#north carolina
1#26#26#leonard dunlap#defensive back#north texas state
2#26#52#bill atessis#defensive end#texas
3#26#78#karl douglas#quarterback#texas a&i
5#26#130#john andrews#tight end#indiana
6#26#156#ken frith#defensive tackle#northeast louisiana
7#26#182#gordon bowdell#wide receiver#michigan state
8#25#207#willie bogan#defensive back#dartmouth
9#26#234#bill burnett#running back#arkansas
10#26#260#rex kern#quarterback#ohio state
11#26#286#dave jones#linebacker#baylor
12#8#294#bob wuensch#offensive tackle#texas
12#26#312#bill triplett#wide receiver#michigan state
13#26#338#tom neville#linebacker#yale
14#26#364#mike mikolayunas#running back#davidson
15#26#390#mike hogan#linebacker#michigan state
16#26#416#rich harrington#defensive back#houston
17#25#441#don nottingham#running back#kent state
