name#pinnacle height#structure type#main use#town
burj khalifa#m (ft)#skyscraper#office , hotel , residential#dubai
warsaw radio mast#m (ft)#guyed mast#lf transmission#gąbin - konstantynów , masovian voivodeship
tokyo skytree#m (ft)#steel tower#observation , vhf - uhf transmission#tokyo
shanghai tower#m (ft) m#skyscraper#residential , observation#shanghai
kvly - tv mast#m (ft)#guyed mast#vhf - uhf transmission#blanchard , north dakota
kxjb - tv mast#m (ft)#guyed mast#vhf - uhf transmission#galesburg , north dakota
kxtv / kovr tower#m (ft)#guyed mast#vhf - uhf transmission#walnut grove , california
petronius platform#m (ft)#offshore platform#oil drilling#petronius field , gulf of mexico
katv tower#m (ft)#guyed mast#vhf - uhf transmission#redfield , arkansas
kcau tv tower#m (ft)#guyed mast#vhf - uhf transmission#sioux city , iowa
wect tower#m (ft)#guyed mast#vhf - uhf transmission#colly township , north carolina
local tv iowa tower alleman#m (ft)#guyed mast#vhf - tv , fm radio transmission#alleman , iowa
des moines hearst - argyle television tower alleman#m (ft)#guyed mast#vhf - uhf transmission#alleman , iowa
diversified communications tower#m (ft)#guyed mast#vhf - uhf transmission#floyd dale , south carolina
aflac tower#m (ft)#guyed mast#vhf - uhf transmission#rowley , iowa
wbtv - tower#m (ft)#guyed mast#vhf - uhf transmission#dallas , north carolina
ktvo - tv tower#m (ft)#guyed mast#vhf - uhf transmission#missouri
hearst - argyle tower#m (ft)#guyed mast#vhf - uhf transmission#walnut grove , california
wtto tower#m (ft)#guyed mast#vhf - uhf transmission#windham springs , alabama
wcsc - tower#m (ft)#guyed mast#vhf - uhf transmission#awendaw , south carolina
ktve - tower#m (ft)#guyed mast#vhf - uhf transmission#bolding , arkansas
wctv tower#m (ft)#guyed mast#vhf - uhf transmission#metcalf , georgia
wral hdtv mast#m (ft) (orig. 609.3 m)#guyed mast#vhf - uhf transmission#auburn , north carolina
tv alabama tower#m (ft)#guyed mast#vhf - uhf transmission#windham springs , alabama
kdlt tower#m (ft)#guyed mast#vhf - uhf transmission#rowena , south dakota
kmos tv tower#m (ft)#guyed mast#vhf - uhf transmission#syracuse , missouri
winnie cumulus broadcasting tower#m (ft)#guyed mast#vhf - uhf transmission#winnie , texas
liberman broadcasting tower era#m (ft)#guyed mast#vhf - uhf transmission#era , texas
weau - tower#m (ft)#guyed mast#vhf - uhf transmission#fairchild , wisconsin
perry broadcasting tower#m (ft)#guyed mast#vhf - uhf transmission#alfalfa , oklahoma
ky3 tower#m (ft)#guyed mast#vhf - uhf transmission#fordland , missouri
spectrasite tower thomasville#m (ft)#guyed mast#vhf - uhf transmission#thomasville , georgia
pegasus broadcasting tower#m (ft)#guyed mast#vhf - uhf transmission#metcalf , georgia
klde tower#m (ft)#guyed mast#vhf - uhf transmission#liverpool , texas
wckw / kste - tower#m (ft)#guyed mast#vhf - uhf transmission#vacherie , louisiana
american towers tower elkhart#m (ft)#guyed mast#vhf - uhf transmission#elkhart , iowa
salem radio properties tower#m (ft)#guyed mast#vhf - uhf transmission#collinsville , texas
stowell cumulus broadcasting tower#m (ft)#guyed mast#vhf - uhf transmission#stowell , texas
wlbt tower#m (ft)#guyed mast#vhf - uhf transmission#raymond , mississippi
kytv tower 2#m (ft)#guyed mast#vhf - uhf transmission#marshfield , missouri
spectrasite tower raymond#m (ft)#guyed mast#vhf - uhf transmission#raymond , mississippi
hoyt radio tower#m (ft)#guyed mast#vhf - uhf transmission#hoyt , colorado
service broadcasting tower decatur#m (ft)#guyed mast#vhf - uhf transmission#decatur , texas
wtvd tower#m (ft)#guyed mast#vhf - uhf transmission#auburn , north carolina
channel 40 tower#m (ft)#guyed mast#vhf - uhf transmission#walnut grove , california
liberman broadcasting tower devers#m (ft)#guyed mast#vhf - uhf transmission#devers , texas
khys tower#m (ft)#guyed mast#vhf - uhf transmission#devers , texas
clear channel broadcasting tower devers#m (ft)#guyed mast#vhf - uhf transmission#devers , texas
media general tower#m (ft)#guyed mast#vhf - uhf transmission#awendaw , south carolina
eastern north carolina broadcasting tower#m (ft)#guyed mast#vhf - uhf transmission#trenton , north carolina
wncn tower#m (ft)#guyed mast#vhf - uhf transmission#garner , north carolina
kelo tv tower#m (ft)#guyed mast#vhf - uhf transmission#rowena , south dakota
witn tower#m (ft)#guyed mast#vhf - uhf transmission#grifton , north carolina
noe corp tower#m (ft)#guyed mast#vhf - uhf transmission#columbia , louisiana
pappas telecasting tower#m (ft)#guyed mast#vhf - uhf transmission#plymouth county , iowa
khou - tv tower#m (ft)#guyed mast#vhf - uhf transmission#missouri city , texas
richland towers tower missouri city#m (ft)#guyed mast#vhf - uhf transmission#missouri city , texas
kswb - tv tower#m (ft)#guyed mast#vhf - uhf transmission#san diego , california
abraj al bait hotel tower#m (ft)#skyscraper#hotel , residential#mecca
senior road tower#m (ft)#guyed mast#vhf - uhf transmission#missouri city , texas
ktrk - tv tower#m (ft)#guyed mast#vhf - uhf transmission#missouri city , texas
houston tower joint venture tower#m (ft)#guyed mast#vhf - uhf transmission#missouri city , texas
american towers tower missouri city#m (ft)#guyed mast#vhf - uhf transmission#missouri city , texas
fox - tv tower#m (ft)#guyed mast#vhf - uhf transmission#missouri city , texas
mississippi telecasting tower#m (ft)#guyed mast#vhf - uhf transmission#inverness , mississippi
wcnc - tv tower#m (ft)#guyed mast#vhf - uhf transmission#dallas , north carolina
capstar radio tower#m (ft)#guyed mast#vhf - uhf transmission#middlesex , north carolina
canton tower#m (ft)#concrete tower#observation , vhf - uhf transmission#guangzhou
