rider#manufacturer#laps#time / retired#grid
sete gibernau#honda#28#44:10.398#1
valentino rossi#honda#28#+ 0.363#2
max biaggi#honda#28#+ 5.073#3
troy bayliss#ducati#28#+ 12.606#9
alex barros#yamaha#28#+ 18.930#10
tohru ukawa#honda#28#+ 19.113#6
nicky hayden#honda#28#+ 20.156#11
norifumi abe#yamaha#28#+ 20.870#14
carlos checa#yamaha#28#+ 22.125#7
olivier jacque#yamaha#28#+ 25.218#12
shinya nakano#yamaha#28#+ 35.903#5
nobuatsu aoki#proton kr#28#+ 39.258#15
john hopkins#suzuki#28#+ 50.230#16
makoto tamada#honda#28#+ 1:01.441#18
kenny roberts , jr#suzuki#28#+ 1:04.142#17
andrew pitt#kawasaki#28#+ 1:23.083#20
garry mccoy#kawasaki#27#+ 1 lap#21
noriyuki haga#aprilia#14#retirement#19
loris capirossi#ducati#8#retirement#4
colin edwards#aprilia#0#accident#8
jeremy mcwilliams#proton kr#0#accident#13
official motogp report#official motogp report#official motogp report#official motogp report#official motogp report
