region#total population#manchu#percentage in manchu population#regional percentage of population
total#1335 , 110869#10410 , 585#100#0.77
total (in all 31 provincial regions)#1332 , 810869#10387 , 958#99.83#0.78
northeast#109513 , 129#6951 , 280#66.77#6.35
north#164823 , 663#3002 , 873#28.84#1.82
east#392862 , 229#122861#1.18#0.03
south central#375984 , 133#120424#1.16#0.03
northwest#96646 , 530#82135#0.79#0.08
southwest#192981 , 185#57785#0.56#0.03
liaoning#43746 , 323#5336 , 895#51.26#12.20
hebei#71854 , 210#2118 , 711#20.35#2.95
jilin#27452 , 815#866365#8.32#3.16
heilongjiang#38313 , 991#748020#7.19#1.95
inner mongolia#24706 , 291#452765#4.35#2.14
beijing#19612 , 368#336032#3.23#1.71
tianjin#12938 , 693#83624#0.80#0.65
henan#94029 , 939#55493#0.53#0.06
shandong#95792 , 719#46521#0.45#0.05
guangdong#104320 , 459#29557#0.28#0.03
shanghai#23019 , 196#25165#0.24#0.11
ningxia#6301 , 350#24902#0.24#0.40
guizhou#34748 , 556#23086#0.22#0.07
xinjiang#21815 , 815#18707#0.18#0.09
jiangsu#78660 , 941#18074#0.17#0.02
shaanxi#37327 , 379#16291#0.16#0.04
sichuan#80417 , 528#15920#0.15#0.02
gansu#25575 , 263#14206#0.14#0.06
yunnan#45966 , 766#13490#0.13#0.03
hubei#57237 , 727#12899#0.12#0.02
shanxi#25712 , 101#11741#0.11#0.05
zhejiang#54426 , 891#11271#0.11#0.02
guangxi#46023 , 761#11159#0.11#0.02
anhui#59500 , 468#8516#0.08#0.01
fujian#36894 , 217#8372#0.08#0.02
qinghai#5626 , 723#8029#0.08#0.14
hunan#65700 , 762#7566#0.07#0.01
jiangxi#44567 , 797#4942#0.05#0.01
chongqing#28846 , 170#4571#0.04#0.02
hainan#8671 , 485#3750#0.04#0.04
tibet#3002 , 165#718#<0.01#0.02
active servicemen#2300 , 000#22627#0.24#1.05
