year#competition#venue#position#notes
2001#african junior championships#réduit , mauritius#1st#3000 m s'chase
2002#commonwealth games#manchester , england#2nd#3000 m s'chase
2002#african championships#radès , tunisia#4th#3000 m s'chase
2003#all - africa games#abuja , nigeria#1st#3000 m s'chase
2003#world championships#paris , france#2nd#3000 m s'chase
2003#world athletics final#monte carlo , monaco#3rd#3000 m s'chase
2004#olympic games#athens , greece#1st#3000 m s'chase
2004#world athletics final#monte carlo , monaco#2nd#3000 m s'chase
2005#world championships#helsinki , finland#2nd#3000 m s'chase
2005#world athletics final#monte carlo , monaco#2nd#3000 m s'chase
2006#commonwealth games#melbourne , australia#1st#3000 m s'chase
2006#world athletics final#stuttgart , germany#5th#3000 m s'chase
2007#all - africa games#algiers , algeria#2nd#3000 m steeple
2007#world championships#osaka , japan#2nd#3000 m s'chase
2008#olympic games#beijing , china#7th#3000 m s'chase
2008#world athletics final#stuttgart , germany#2nd#3000 m s'chase
2009#world championships#berlin , germany#1st#3000 m s'chase
2009#world athletics final#thessaloniki , greece#1st#3000 m s'chase
2010#african championships#nairobi , kenya#2nd#3000 m s'chase
2011#world championships#daegu , south korea#1st#3000 m s'chase
2012#olympic games#london , england#1st#3000 m s'chase
2013#world championships#moscow , russia#1st#3000 m s'chase
