branding#callsign#frequency#power (kw)#station type#location
dzrh#dzrh#666khz#50kw#originating#metro manila
dzrh laoag#dzmt#990khz#5kw#relay#laoag
dzrh dagupan#dwdh#1440khz#10kw#relay#dagupan
dzrh tuguegarao#dwrh#576khz#5kw#relay#tuguegarao
dzrh isabela#dwrh#828khz#5kw#relay#santiago , isabela
dzrh lucena#dwsr#1224khz#5kw#relay#lucena
dzrh palawan#dyph#693khz#10kw#relay#puerto princesa
dzrh naga#dwmt#981khz#5kw#relay#naga
dzrh sorsogon#dzzh#1287khz#5kw#relay#sorsogon
dzrh kalibo#dykx#693khz#1kw#relay#kalibo , aklan
dzrh iloilo#dydh#1485khz#5kw#relay#iloilo
dzrh bacolod#dybh#1080khz#5kw#relay#bacolod
dzrh cebu#dyrh#1395khz#10kw#relay#cebu
dzrh tacloban#dyth#990khz#5kw#relay#tacloban
dzrh zamboanga#dxzh#855khz#5kw#relay#zamboanga
dzrh cagayan de oro#dxkh#972khz#5kw#relay#cagayan de oro
dzrh davao#dxrf#1260khz#10kw#relay#davao
dzrh general santos#dxgh#531khz#5kw#relay#general santos
dzrh bislig#dxrh#1035khz#1kw#relay#bislig , surigao del sur
