nationality#position#apps#goals#years
wales#mf#620#109#1992 -
england#gk#572#0#1992 - 2010
england#mf#553#164#1995 -
wales#mf#535#97#1992 - 2008
england#fw#516#111#1996 - 2012
england#df#509#3#1997 - 2013
england#df#505#9#1995 - 2013
australia#gk#504#0#1996 -
england#mf#503#48#1997 -
england#df#503#20#1992 - 2011
england#mf#499#107#1995 - 2013
england#df#478#11#1996 -
united states#gk#447#1#1997 -
england#fw#442#87#1997 - 2012
northern ireland#df#442#5#1997 -
england#mf#439#98#1998 -
england#fw#441#260#1992 - 2006
republic of ireland#gk#440#0#1996 -
england#df#425#17#1992 - 2006
england#fw#418#147#1992 - 2007
finland#gk#416#0#2001 -
england#mf#416#52#1997 - 2012
england#fw#415#188#1993 - 2008
france#df#411#7#2001 -
england#mf#411#29#1992 - 2009
republic of ireland#df#409#10#1996 - 2013
england#df#398#5#1995 - 2011
england#mf#397#57#1996 - 2011
england#df#387#32#1998 -
netherlands#mf#382#17#1997 - 2010
england#mf#381#21#1999 -
england#mf#379#21#1992 - 2007
england#fw#379#162#1993 - 2009
england#df#377#9#1998 - 2013
republic of ireland#df#377#8#1993 - 2011
republic of ireland#mf#377#54#1996 -
trinidad & tobago#fw#375#123#1992 - 2009
england#gk#372#1#1998 - 2012
england#gk#371#0#1992 - 2006
england#df#367#15#1999 -
england#fw#367#124#2000 -
republic of ireland#mf#366#39#1992 - 2005
england#df#364#38#1992 - 2007
england#df#363#8#1995 - 2006
england#mf#360#52#1993 - 2007
ireland#mf#359#23#1997 - 2013
denmark#gk#358#0#1999 -
england#df#355#19#1992 - 2006
england#df#352#5#1992 - 2003
france#fw#352#124#1996 -
england#mf#351#26#1993 - 2006
england#fw#349#150#1992 - 2005
republic of ireland#fw#349#125#1999 - 2012
wales#mf#346#20#1997 - 2008
england#mf#346#43#1998 -
england#fw#345#156#2002 -
england#gk#344#0#1992 - 2004
england#mf#343#54#1992 - 2010
england#mf#341#36#1992 - 2003
england#df#339#22#1998 -
england#mf#337#61#2001 -
france#mf#336#39#2001 - 2011
republic of ireland#df#335#0#1995 - 2006
iceland#df#332#15#1997 - 2010
england#fw#329#90#1996 - 2011
england#df#329#10#1992 - 2004
republic of ireland#df#328#18#1992 - 2004
england#df#327#12#1992 - 2005
england#fw#326#150#1997 - 2013
england#mf#326#30#2002 -
england#mf#325#79#2001 -
england#fw#325#82#1992 - 2006
republic of ireland#df#325#2#1993 - 2004
scotland#mf#325#49#1992 - 2002
ireland#mf#324#15#1999 - 2010
england#df#323#4#1992 - 2004
france#df#321#25#2001 - 2013
england#df#321#8#1998 - 2011
republic of ireland#mf#320#12#2001 -
england#df#318#9#1992 - 2001
scotland#df#318#7#1995 - 2005
england#mf#317#38#1992 - 2005
finland#df#317#22#1999 - 2009
england#df#316#4#1998 - 2012
netherlands#fw#315#87#1995 - 2006
netherlands#gk#313#0#2001 - 2011
england#fw#312#111#1992 - 2004
england#gk#312#0#1992 - 2004
england#mf#311#33#2000 - 2013
denmark#gk#310#1#1992 - 2003
england#mf#309#29#2001 -
cote d'ivoire#df#308#11#2002 -
france#mf#307#33#1996 - 2011
england#mf#306#42#1992 - 2004
england#df#305#10#1992 - 2002
united states#gk#305#1#2003 -
england#df#304#5#1992 - 2006
peru#mf#302#49#1998 - 2008
wales#mf#301#27#2000 - 2013
norway#df#301#21#2001 -
england#mf#300#24#1992 - 2005
england#mf#300#12#1997 - 2010
