country#co2 emissions#area (in km 2 )#population#emission / person
world#33508 , 901#148940 , 000#6852 , 472823#4.9
china#8240 , 958#9640 , 821#1339 , 724852#6.2
united states#5492 , 170#9826 , 675#312793 , 000#17.6
india#2069 , 738#3287 , 263#1210 , 193422#1.7
russia#1688 , 688#17075 , 400#142946 , 800#11.8
japan#1138 , 432#377944#128056 , 026#8.9
germany#762543#357021#81799 , 600#9.3
iran#574667#1648 , 195#75330 , 000#7.6
south korea#563126#100210#48875 , 000#11.5
canada#518475#9984 , 670#34685 , 000#14.9
saudi arabia#493726#2149 , 690#27136 , 977#18.2
united kingdom#493158#243610#62262 , 000#7.9
indonesia#476557#1919 , 440#237424 , 363#2.0
mexico#466131#1972 , 550#112322 , 757#4.1
south africa#451839#1221 , 037#50586 , 757#8.9
brazil#419 537#8514 , 877#190732 , 694#2.2
italy#407 924#301338#60681 , 514#6.7
australia#365 513#7617 , 930#22794 , 166#16.0
france#362 556#674843#65821 , 885#5.5
poland#309 985#312685#38186 , 860#8.1
