name#pos#height#weight#date of birth#club
nikolai maksimov#gk#m (ft 3in)#kg (lb)#1972 - 11 - 15#lukoil spartak volgograd
aleksandr fyodorov#gk#m (ft 5in)#kg (lb)#1981 - 01 - 26#lukoil spartak volgograd
vitaly yurchik#cb#m (ft 7in)#kg (lb)#1983 - 05 - 17#lukoil spartak volgograd
nikolay kozlov#cb#m (ft 4in)#kg (lb)#1972 - 07 - 21#lukoil spartak volgograd
roman balashov#d#m (ft 4in)#kg (lb)#1977 - 02 - 09#shturm 2002 chekhov
alexander eryshov#d#m (ft 11in)#kg (lb)#1973 - 01 - 17#dinamo moscow
revaz tchomakhidze#cf#m (ft 5in)#kg (lb)#1973 - 12 - 15#shturm 2002 chekhov
dmitry stratan#d#m (ft 5in)#kg (lb)#1975 - 01 - 24#shturm 2002 chekhov
dmitry gorshkov#d#m (ft 11in)#kg (lb)#1967 - 04 - 29#csk vmf moscow
marat zakirov#d#m (ft 10in)#kg (lb)#1973 - 11 - 08#dinamo moscow
sergey garbuzov#cb#m (ft 4in)#kg (lb)#1974 - 01 - 13#shturm 2002 chekhov
irek zinnourov#d#m (ft 2in)#kg (lb)#1969 - 01 - 11#lukoil spartak volgograd
andrey rekechinsky#cf#m (ft 3in)#kg (lb)#1981 - 01 - 07#lukoil spartak volgograd
head coach : aleksandr kabanov#head coach : aleksandr kabanov#head coach : aleksandr kabanov#head coach : aleksandr kabanov#head coach : aleksandr kabanov#head coach : aleksandr kabanov
