incident no#date#place#killed#injured
1#9 january#sundergarh , odfisha#0#0
2#12 january#west midnapore , west bengal#0#0
3#14 january#gadchiroli , maharashtra#0#0
4#18 january#west midnapore , west bengal#1#0
5#26 january#palamau , jharkhand#0#0
6#1 february#jamui , bihar#0#0
7#7 february#gaya , bihar#0#0
8#10 february#muzaffarpur , bihar#0#0
9#12 february#garhwa , jharkhand#0#0
10#13 february#palamau , jharkhand#0#0
11#14 february#gaya , bihar#0#0
12#18 february#saran , bihar#0#0
13#26 february#kaimur , bihar#0#0
14#1 march#jamui , bihar#0#0
15#1 march#jamui , bihar#0#0
16#4 march#muzaffarpur , bihar#0#0
17#7 march#west midnapore , west bengal#1#0
18#13 march#east champaran , bihar#6#1
19#14 march#gaya , bihar#0#0
20#16 march#gaya , bihar#0#0
21#17 march#gaya , bihar#0#1
22#24 march#aurangabad , bihar#0#0
23#25 march#gaya , bihar#0#0
24#16 april#surguja , chhattisgarh#0#0
25#3 may#lohardaga , jharkhand#11#40
26#3 may#bokaro , jharkhand#0#0
27#5 may#malkangiri , odisha#0#0
28#6 may#malkangiri , odisha#0#0
29#13 may#rohtas , bihar#0#0
30#14 may#hazaribagh , jharkhand#0#1
31#31 may#rohtas , bihar#0#0
32#3 june#gaya , bihar#0#0
33#6 june#chatra , jharkhand#0#0
34#11 june#dantewada , chhattisgarh#13#0
35#16 june#gaya , bihar#0#0
36#16 june#gaya , bihar#0#0
37#16 june#jehanabad , bihar#0#0
38#16 june#dantewada , chhattisgarh#0#0
39#16 june#garhwa , jharkhand#0#0
40#17 june#latehar , jharkhand#0#0
41#20 june#bokaro , jharkhand#1#3
42#26 june#kanker , chhattisgarh#3#0
43#1 july#munger , bihar#6#0
44#1 july#lohardaga , jharkhand#0#0
45#5 july#malkangiri , odisha#0#0
46#7 july#rayagada , odisha#2#0
47#15 july#jamui , bihar#0#0
48#30 july#rohtas , bihar#3#0
49#31 july#malkangiri , odisha#0#0
50#2 september#banka , bihar#1#2
51#5 october#rajnandgaon , chhattisgarh#0#0
52#9 october#aurangabad , bihar#0#0
53#14 october#gondia , maharashtra#0#6
54#8 november#gaya , bihar#0#0
55#24 november#west midnapore , west bengal#4#0
56#27 november#gadchiroli , maharashtra#0#0
57#29 november#gadchiroli , maharashtra#0#0
58#5 december#aurangabad , bihar#0#0
59#5 december#??alamau , jharkhand#0#0
60#5 december#bargarh , odisha#0#0
61#9 december#jamui , bihar#0#0
62#14 december#malkangiri , odisha#0#0
63#15 december#gaya , bihar#0#0
64#15 december#latehar , jharkhand#0#0
65#16 december#khammam , andhra pradesh#0#0
66#22 december#gaya , bihar#0#0
67#27 december#dantewada , chhattisgarh#0#0
total#total#total#52#54
