outcome#year#tournament#surface#opponent in the final#score
runner - up#11 october 1993#montpellier , france#hard#elena likhovtseva#3 - 6 , 4 - 6
runner - up#30 october 1995#quebec city , canada#carpet#brenda schultz - mccarthy#6 - 7 (5) , 2 - 6
winner#19 may 1996#cardiff , great britain#clay#laurence courtois#6 - 4 , 6 - 2
winner#12 january 1997#hobart , australia#hard#marianne werdel - witmeyer#6 - 3 , 6 - 3
winner#28 september 1997#surabaya , indonesia#hard#lenka němečková#6 - 1 , 6 - 3
runner - up#20 october 1997#quebec city , canada#carpet#brenda schultz - mccarthy#4 - 6 , 7 - 6 (4) , 5 - 7
runner - up#23 november 1997#pattaya , thailand#hard#henrieta nagyová#5 - 7 , 7 - 6 (6) , 5 - 7
winner#11 january 1998#auckland , new zealand#hard#silvia farina#4 - 6 , 7 - 6 , 7 - 5
runner - up#12 january 1998#hobart , australia#hard#patty schnyder#3 - 6 , 2 - 6
runner - up#9 february 1998#paris , france#hard#mary pierce#3 - 6 , 5 - 7
runner - up#23 february 1998#linz , austria#carpet#jana novotná#1 - 6 , 6 - 7 (2)
runner - up#18 may 1998#madrid , spain#clay#patty schnyder#6 - 3 , 4 - 6 , 0 - 6
runner - up#2 january 1999#auckland , new zealand#hard#julie halard - decugis#4 - 6 , 1 - 6
runner - up#20 september 1999#luxembourg , luxembourg#hard#kim clijsters#2 - 6 , 2 - 6
runner - up#19 june 2000#eastbourne , united kingdom#grass#julie halard - decugis#6 - 7 (4) , 4 - 6
runner - up#17 july 2000#knokke - heist , belgium#clay#anna smashnova#2 - 6 , 5 - 7
