frequency#station#operator#language#genre
87.7mhz#klasik nasional fm#rtm#malay#music
88.1mhz#one fm#media prima#mandarin , cantonese#talk , music
88.5mhz#nasional fm#rtm#malay#music
88.9mhz#capital fm#star rfm radio#english#music
89.3mhz#ai fm#rtm#mandarin , various chinese dialects#music , talk
89.9mhz#bfm 89.9#bfm media#english#music , news , talk
90.3mhz#traxx fm#rtm#english#music , talk
90.7mhz#putra fm#universiti putra malaysia#malay , english#music , talk
91.1mhz#asyik fm#rtm#jakun , semai , temiar#music , talk
91.5mhz#ikim.fm#institute of islamic studies malaysia#malay , english , arabic#music , talk
92.3mhz#minnal fm#rtm#tamil#music , talk
92.9mhz#hitz.fm#amp radio networks#english#music , talk
93.6mhz#ufm#universiti teknologi mara#english , malay#music , talk
93.9mhz#radio24#bernama#malay , english#news , music
94.5mhz#mix fm#amp radio networks#english#talk , music
95.3mhz#nasional fm#rtm#malay#music
95.8mhz#fly fm#media prima#english , malay#talk , music
96.3mhz#minnal fm#rtm#tamil#talk , music
96.7mhz#sinar fm#amp radio networks#malay#talk , music
97.2mhz#klfm#rtm#malay#talk , music
97.6mhz#hot fm#media prima#malay#talk , music
98.3mhz#klasik nasional fm#rtm#malay#music
98.8mhz#988 fm#star rfm radio#chinese (cantonese)#talk , music
99.3mhz#thr.fm (raaga)#amp radio networks#tamil#talk , music
100.1mhz#traxx fm#rtm#english#talk , music
100.9mhz#selangor fm#rtm#malay#talk , music
101.8mhz#my fm#amp radio networks#chinese (cantonese)#talk , music
102.5mhz#asyik fm and salam fm#rtm#orang asli#talk , music
103.0mhz#melody fm#amp radio networks#chinese#music
103.3mhz#era fm#amp radio networks#malay#talk , music
104.1mhz#best 104#suara johor sdn.bhd#malay#music
104.9mhz#red fm#star rfm radio#english , malay#talk , music
105.3mhz#suria fm#star rfm radio#malay#talk , music
105.7mhz#litefm#amp radio networks#english#music
106.7mhz#ai fm#rtm#chinese#talk , music
107.5mhz#pahang fm#rtm#malay#talk , music
