week#craigs vote#arlenes vote#brunos vote#lens vote#safe#eliminated
1#brian and karen#kenny and ola#kenny and ola#kenny and ola#kenny and ola#brian and karen
2#letitia and darren#stephanie and vincent#letitia and darren#letitia and darren#letitia and darren#stephanie and vincent
3#john and nicole#john and nicole#john and nicole#n / a#john and nicole#willie and erin
4#gabby and james#penny and ian#penny and ian#penny and ian#penny and ian#gabby and james
5#john and nicole#john and nicole#john and nicole#n / a#john and nicole#dominic and lilia
6#matt and flavia#penny and ian#matt and flavia#matt and flavia#matt and flavia#penny and ian
7#john and nicole#john and nicole#john and nicole#n / a#john and nicole#kate and anton
8#kelly and brendan#kelly and brendan#kelly and brendan#n / a#kelly and brendan#john and nicole
9#letitia and darren#letitia and darren#letitia and darren#n / a#letitia and darren#kenny and ola
10#alesha and matthew#alesha and matthew#alesha and matthew#n / a#alesha and matthew#letitia and darren
