round#overall#player#position#school / club team
1#20#willis adams#wide receiver#houston
2#40#lawrence johnson#defensive back#wisconsin
2#47#sam claphan#offensive tackle#oklahoma
3#70#jim ramey#defensive end#kentucky
4#95#matt miller#offensive tackle#colorado
5#124#rich dimler#defensive tackle#usc
6#151#clinton burrell#defensive back#lsu
6#163#jim ronan#defensive tackle#minnesota
7#183#cody risien#offensive tackle#texas a&m
8#204#kent perkov#defensive end#san diego state
9#234#carl mcgee#linebacker#duke
9#241#curtis weathers#linebacker#mississippi
10#261#john henry smith#wide receiver#tennessee state
11#287#randy poeschl#defensive end#nebraska
12#315#dee methvin#center#tulane
