episode#airdate#rating#share#18 - 49 (rating / share)#viewers (m)#rank ()
pilot#october 7 , 2007#1.2#2#0.4 / 1#1.65#99 / 110
ubuntu#october 14 , 2007#0.7#1#0.3 / 1#1.06#100 / 110
open for business#october 21 , 2007#1.1#2#0.5 / 1#1.61#96 / 107
heritage day#october 28 , 2007#0.8#1#0.4 / 1#1.10#95 / 97
bad to the bone#november 4 , 2007#0.8#1#0.4 / 1#1.07#98 / 100
games people play#november 11 , 2007#1.0#2#0.4 / 1#1.35#99 / 101
the heart wants what it wants#november 18 , 2007#1.0#2#0.4 / 1#1.39#99 / 101
animal house#december 2 , 2007#0.9#1#0.4 / 1#1.25#96 / 98
the code#december 9 , 2007#0.8#1#0.4 / 1#1.11#100 / 102
rescue me#january 6 , 2008#0.6#1#0.3 / 1#0.85#92 / 94
love life#january 20 , 2008#0.6#1#0.2 / .5#0.80#tba
p.o.c#january 27 , 2008#0.8#1#0.4 / 1#1.11#tba
home#february 3 , 2008#0.6#1#0.2 / 0#0.75#tba
