heat#lane#name#nationality#time
7#6#dániel gyurta#hungary#2:08.68
5#2#paolo bossini#italy#2:08.98
7#2#loris facci#italy#2:09.12
7#5#hugues duboscq#france#2:09.42
6#6#mike brown#canada#2:09.84
7#4#kosuke kitajima#japan#2:09.89
6#3#eric shanteau#united states#2:10.29
6#2#william diering#south africa#2:10.39
6#7#neil versfeld#south africa#2:10.50
5#5#scott spann#united states#2:10.61
7#7#vladislav polyakov#kazakhstan#2:10.83
4#7#andrew bree#ireland#2:10.91
6#4#brenton rickard#australia#2:11.00
7#1#igor borysik#ukraine#2:11.08
5#3#kristopher gilchrist#great britain#2:11.13
4#6#glenn snyders#new zealand#2:11.19
6#5#alexander dale oen#norway#2:11.30
7#3#yuta suenaga#japan#2:11.30
3#3#thiago pereira#brazil#2:11.40
3#5#tom be'eri#israel#2:11.44
4#1#hunor mate#austria#2:11.56
7#8#valeriy dymo#ukraine#2:11.65
5#4#grigory falko#russia#2:11.88
5#8#mihail alexandrov#bulgaria#2:11.94
4#5#yevgeniy ryzhkov#kazakhstan#2:12.44
5#6#christian sprenger#australia#2:12.56
3#4#melquíades álvarez#spain#2:12.59
4#8#julien nicolardot#france#2:12.76
5#1#mathieu bois#canada#2:12.87
6#1#henrique barbosa#brazil#2:12.99
1#4#edvinas dautartas#lithuania#2:13.11
2#4#carlos almeida#portugal#2:13.34
6#8#chris christensen#denmark#2:13.92
4#3#sergio garcía#spain#2:14.30
4#2#maxim podoprigora#austria#2:14.43
1#6#sandeep sejwal#india#2:15.24
4#4#james kirton#great britain#2:15.25
2#3#jakob jóhann sveinsson#iceland#2:15.58
3#2#jiří jedlička#czech republic#2:15.79
2#8#laurent carnol#luxembourg#2:15.87
3#8#romanos alyfantis#greece#2:16.04
3#7#sofiane daid#algeria#2:16.15
2#5#shin su - jong#south korea#2:16.21
3#6#lai zhongjian#china#2:16.28
5#7#alexey zinovyev#russia#2:16.40
2#6#martti aljand#estonia#2:16.52
2#2#miguel molina#philippines#2:16.94
3#1#robin van aggele#netherlands#2:17.14
2#1#wang wei - wen#chinese taipei#2:17.20
1#2#leopoldo andara#venezuela#2:17.77
1#5#ömer aslanoglu#turkey#2:17.93
1#3#sergio andres ferreyra#argentina#2:20.10
2#7#valentin preda#romania#dns
