name#years#league a#fa cup#league cup#other b#total
joe bradford#1920 - 1935#249 (414)#18 (31)#0 (0)#0 (0)#267 (445)
trevor francis#1970 - 1979#119 (280)#6 (20)#4 (19)#4 (10)#133 (329)
peter murphy#1952 - 1960#107 (245)#16 (24)#0 (0)#4 (9)#127 (278)
fred wheldon#1890 - 1896#99 (155)#12 (13)#0 (0)#5 (7)#116 (175)
george briggs#1924 - 1933#98 (298)#9 (26)#0 (0)#0 (0)#107 (324)
billy jones#1901 - 1909 1912 - 1913#99 (236)#3 (17)#0 (0)#0 (0)#102 (253)
geoff vowden#1964 - 1970#79 (221)#8 (16)#7 (16)#0 (0)#94 (253)
eddy brown#1954 - 1958#74 (158)#13 (18)#0 (0)#3 (9)#90 (185)
bob latchford#1969 - 1974#68 (160)#6 (12)#6 (16)#4 (6)#84 (193)
bob mcroberts#1898 - 1905#70 (173)#12 (14)#0 (0)#0 (0)#82 (187)
