year#winner#score#runner - up#finals venue (surface)#city
1963#united states (1)#2–1#australia (1)#queen 's club (g)#london , uk
1964#australia (1)#2–1#united states (1)#germantown cricket club (g)#philadelphia , usa
1965#australia (2)#2–1#united states (2)#kooyong club (g)#melbourne , australia
1966#united states (2)#3–0#west germany (1)#turin press sporting club (c)#turin , italy
1967#united states (3)#2–0# (1)#blau - weiss t.c. (c)#west berlin
1968#australia (3)#3–0# (1)#stade roland garros (c)#paris , france
1969#united states (4)#2–1#australia (2)#athens tennis club (c)#athens , greece
1970#australia (4)#3–0#west germany (2)#freiburg t.c. (c)#freiburg , west germany
1971#australia (5)#3–0# (2)#royal king 's park t.c. (g)#perth , australia
1972# (1)#2–1# (3)#ellis park (h)#johannesburg , south africa
1973#australia (6)#3–0# (1)#bad homburg t.c. (c)#bad homburg , west germany
1974#australia (7)#2–1#united states (3)#naples t.c. (c)#naples , italy
1975#czechoslovakia (1)#3–0#australia (3)#aixoise c.c. (c)#aix - en - provence , france
1976#united states (5)#2–1#australia (4)#the spectrum (icp)#philadelphia , usa
1977#united states (6)#2–1#australia (5)#devonshire park (g)#eastbourne , uk
1978#united states (7)#2–1#australia (6)#kooyong club (g)#melbourne , australia
1979#united states (8)#3–0#australia (7)#rshe club campo (c)#madrid , spain
1980#united states (9)#3–0#australia (8)#rot - weiss tennis club (c)#west berlin
1981#united states (10)#3–0# (4)#tamagawa - en racquet club (c)#tokyo , japan
1982#united states (11)#3–0#west germany (3)#decathlon club (h)#santa clara , usa
1983#czechoslovakia (2)#2–1#west germany (4)#albisguetli t.c. (c)#zurich , switzerland
1984#czechoslovakia (3)#2–1#australia (9)#pinheiros sports club (c)#são paulo , brazil
1985#czechoslovakia (4)#2–1#united states (4)#nagoya green t.c. (h)#nagoya , japan
1986#united states (12)#3–0#czechoslovakia (1)#stvanice stadium (c)#prague , czechoslovakia
1987#west germany (1)#2–1#united states (5)#hollyburn c.c. (h)#vancouver , canada
1988#czechoslovakia (5)#2–1#soviet union (1)#flinders park (h)#melbourne , australia
1989#united states (13)#3–0# (1)#ariake forest park centre (h)#tokyo , japan
1990#united states (14)#2–1#soviet union (2)#peachtree w.o.t. (h)#atlanta , usa
1991# (1)#2–1#united states (6)#nottingham tennis centre (h)#nottingham , uk
1992# (2)#2–1# (2)#waldstadion t.c. (c)#frankfurt , germany
1993# (2)#3–0#australia (10)#waldstadion t.c. (c)#frankfurt , germany
1994# (3)#3–0#united states (7)#waldstadion t.c. (c)#frankfurt , germany
1995# (4)#3–2#united states (8)#valencia t.c. (c)#valencia , spain
1996#united states (15)#5–0# (3)#atlantic city convention center (icp)#atlantic city , usa
1997# (1)#4–1# (2)#brabant hall (icp)#den bosch , netherlands
1998# (5)#3–2# (1)#palexpo hall (ih)#geneva , switzerland
1999#united states (16)#4–1# (3)#taube tennis stadium (h)#stanford , usa
2000#united states (17)#5–0# (4)#mandalay bay events center (icp)#las vegas , usa
2001# (1)#2–1# (4)#parque ferial juan carlos i (ic)#madrid , spain
2002# (1)#3–1# (5)#palacio de congresos (ih)#gran canaria , spain
2003# (2)#4–1#united states (9)#olympic stadium (icp)#moscow , russia
2004# (1)#3–2# (1)#ice stadium krylatskoe (icp)#moscow , russia
2005# (2)#3–2# (2)#court philippe chatrier (c)#paris , france
2006#italy (1)#3–2# (1)#spiroudome (ih)#charleroi , belgium
2007# (3)#4–0#italy (1)#luzhniki palace of sports (ih)#moscow , russia
2008# (4)#4–0# (6)#club de campo villa de madrid (c)#madrid , spain
2009#italy (2)#4–0#united states (10)#circolo del tennis (c)#reggio calabria , italy
2010#italy (3)#3–1#united states (11)#san diego sports arena (ih)#san diego , usa
2011# (6)#3–2# (5)#olympic stadium (ih)#moscow , russia
2012# (7)#3–1# (1)#o2 arena (ih)#prague , czech republic
2013#italy (4)#4–0# (6)#tennis club cagliari (c)#cagliari , italy
