name#latitude#longitude#diameter (km)#named after
caccini#17.4#170.4#38.1#francesca caccini , italian composer
caitlin#- 65.3#12#14.7#irish first name
caiwenji#- 12.4#287.6#22.6#cai wenji , chinese poet
caldwell#23.6#112.4#51#taylor caldwell , american author
callas#2.4#27#33.8#maria callas , american singer
callirhoe#21.2#140.7#33.8#callirhoe , greek sculptor
caroline#6.9#306.3#18#french first name
carr#- 24#295.7#31.9#emily carr , canadian artist
carreno#- 3.9#16.1#57#teresa carreño , n venezuela pianist
carson#- 24.2#344.1#38.8#rachel carson , american biologist
carter#5.3#67.3#17.5#maybelle carter , american singer
castro#3.4#233.9#22.9#rosalía de castro , galician poet
cather#47.1#107#24.6#willa cather , american novelist
centlivre#19.1#290.4#28.8#susanna centlivre , english actress
chapelle#6.4#103.8#22#georgette chapelle , american journalist
chechek#- 2.6#272.3#7.2#tuvan first name
chiyojo#- 47.8#95.7#40.2#chiyojo , japanese poet
chloe#- 7.4#98.6#18.6#greek first name
cholpon#40#290#6.3#kyrgyz first name
christie#28.3#72.7#23.3#agatha christie , english author
chubado#45.3#5.6#7#fulbe first name
clara#- 37.5#235.3#3.2#latin first name
clementina#35.9#208.6#4#portuguese form of clementine , french first name
cleopatra#65.8#7.1#105#cleopatra , egyptian queen
cline#- 21.8#317.1#38#patsy cline , american singer
clio#6.3#333.5#11.4#greek first name
cochran#51.9#143.4#100#jacqueline cochran , american aviator
cohn#- 33.3#208.1#18.3#carola cohn , australian artist
colleen#- 60.8#162.2#13.5#irish first name
comnena#1.2#343.7#19.5#anna comnena , byzantine princess and writer
conway#48.3#39#49.3#lady anne finch conway , english natural scientist
cori#25.4#72.9#56.1#gerty cori , czech biochemist
corinna#22.9#40.6#19.2#corinna , greek poet
corpman#0.3#151.8#46#elizabeth koopman hevelius , astronomer
cortese#- 11.4#218.4#27.7#isabella cortese , italian physician
cotton#70.8#300.2#48.1#eugénie cotton , french physicist
cunitz#14.5#350.9#48.6#maria cunitz , silesian astronomer
cynthia#- 16.7#347.5#15.9#greek first name
