place#name#from#until#titles#seconds#thirds
1#steffi hanzlik - jacob#1997#2004#5#3#-
2#kerstin jürgens - szymkowiak#2003#2011#3#4#-
3#diana sartor#1996#2005#3#1#2
4#anja huber#2006#2008#3#1#-
5#monique riekewald#1996#2005#1#2#4
6#katharina heinz#2009#2010#1#1#-
7#kathleen lorenz#2010#2010#1#-#-
8#ramona rahnis#1996#1998#-#2#1
9#marion trott - thees#2009#2011#-#2#1
10#julia eichhorn#2007#2009#-#-#2
10#sophia griebel#2010#2011#-#-#2
10#annett köhler#2001#2002#-#-#2
13#kati klinzing#2006#2006#-#-#1
13#melanie riedl#2000#2000#-#-#1
