place#player#country#score#to par
t1#john daly#united states#67 + 71 = 138#- 6
t1#brad faxon#united states#71 + 67 = 138#- 6
t1#katsuyoshi tomori#japan#70 + 68 = 138#- 6
t4#mark brooks#united states#70 + 69 = 139#- 5
t4#john cook#united states#69 + 70 = 139#- 5
t4#ben crenshaw#united states#67 + 72 = 139#- 5
t4#ernie els#south africa#71 + 68 = 139#- 5
t4#corey pavin#united states#69 + 70 = 139#- 5
t4#costantino rocca#italy#69 + 70 = 139#- 5
t10#justin leonard#united states#73 + 67 = 140#- 4
t10#vijay singh#fiji#68 + 72 = 140#- 4
t10#payne stewart#united states#72 + 68 = 140#- 4
