poll source#dates administered#democrat : mark begich#republican : ted stevens#lead maragin
rasmussen reports#october 28 , 2008#52%#44%#8
rasmussen reports#october 6 , 2008#48%#49%#1
ivan moore research#september 20 - 22 , 2008#48%#46%#2
daily kos / research 2000#september 15 - september 17 , 2008#50%#44%#6
rasmussen reports#september 9 , 2008#48%#46%#2
moore information#september 2 - 3 , 2008#46%#44%#2
ivan moore research#august 30 - september 2 , 2008#49%#46%#3
ivan moore research#august 9 - 12 , 2008#56%#39%#17
ivan moore research#july 30 - 31 , 2008#56%#35%#21
rasmussen reports#july 30 , 2008#50%#37%#13
ivan moore research#july 18 - 22 , 2008#51%#43%#8
rasmussen reports#july 17 , 2008#52%#44%#8
research 2000 / daily kos#july 14 - 16 , 2008#47%#45%#2
rasmussen reports#june 16 , 2008#44%#46%#2
rasmussen reports#may 14 , 2008#47%#45%#2
research 2000#may 12 - 14 , 2008#48%#43%#5
hellenthal & associates , dscc#may 6 - 10 , 2008#51%#44%#7
rasmussen reports#april 7 , 2008#45%#46%#1
research 2000#december 3 - 6 , 2007#47%#41%#6
