name#tournaments#pro debut#top division debut#highest rank
jōkōryū#9#may 2011#november 2012#maegashira 7
ōsunaarashi#10#march 2012#november 2013#maegashira 15
kotoōshū#11#november 2002#september 2004#ōzeki
aran#11#january 2007#november 2008#sekiwake
itai#12#september 1978#september 1980#komusubi
konishiki#12#july 1982#july 1984#ōzeki
tochiazuma ii#12#november 1994#november 1996#ōzeki
asashōryū#12#january 1999#january 2001#yokozuna
tokitenkū#12#july 2002#july 2004#komusubi
yoshikaze#12#january 2004#january 2006#maegashira 1
baruto#12#may 2004#may 2006#ōzeki
sakaizawa#12#march 2006#march 2008#maegashira 15
yamamotoyama#12#january 2007#january 2009#maegashira 9
