#average population (x 1000)#live births#deaths#natural change#crude birth rate (per 1000)#crude death rate (per 1000)#natural change (per 1000)
1975#136#5 002#1 386#3 616#36.8#10.2#26.6
1976#140#5 232#1 565#3 667#37.4#11.2#26.2
1977#144#6 131#1 652#4 479#42.7#11.5#31.2
1978#148#5 667#1 971#3 696#38.4#13.4#25.0
1979#152#6 308#2 044#4 264#41.5#13.5#28.1
1980#157#6 822#1 787#5 035#43.6#11.4#32.1
1981#162#7 010#1 963#5 047#43.3#12.1#31.2
1982#168#7 402#2 129#5 273#44.1#12.7#31.4
1983#174#7 236#1 748#5 488#41.6#10.1#31.6
1984#180#8 255#1 640#6 615#45.8#9.1#36.7
1985#187#8 968#1 607#7 361#48.0#8.6#39.4
1986#193#8 615#1 511#7 104#44.6#7.8#36.8
1987#200#8 364#1 525#6 839#41.8#7.6#34.2
1988#207#8 297#1 526#6 771#40.2#7.4#32.8
1989#213#8 726#1 476#7 250#41.0#6.9#34.0
1990#219#8 639#1 355#7 284#39.4#6.2#33.2
1991#226#8 390#1 366#7 024#37.2#6.1#31.1
1992#232#8 139#1 330#6 809#35.1#5.7#29.4
1993#238#7 780#1 319#6 461#32.7#5.6#27.2
1994#243#7 382#1 240#6 142#30.3#5.1#25.2
1995#249#6 849#1 151#5 698#27.5#4.6#22.9
1996#254#6 772#1 213#5 559#26.7#4.8#21.9
1997#259#6 184#1 175#5 009#23.9#4.5#19.3
1998#264#5 687#1 121#4 566#21.6#4.2#17.3
1999#269#5 225#1 037#4 188#19.5#3.9#15.6
2000#273#5 399#1 032#4 367#19.8#3.8#16.0
2001#278#4 897#1 081#3 816#17.6#3.9#13.7
2002#282#5 003#1 113#3 890#17.7#3.9#13.8
2003#287#5 157#1 030#4 127#18.0#3.6#14.4
2004#291#5 220#1 015#4 205#17.9#3.5#14.5
2005#295#5 543#1 027#4 516#18.8#3.5#15.3
2006#299#5 829#1 083#4 746#19.5#3.6#15.9
2007#304#6 569#1 118#5 451#21.6#3.7#18.0
2008#308#6 946#1 061#5 885#22.6#3.4#19.1
2009#312#7 323#1 158#6 165#23.5#3.7#19.8
