#week 1#week 2#week 3#week 4#week 5
january#alexandra penovich#josie goldberg#felicia taylor#diane deluna#[month ended]
february#cassia walton#kaci lynn#amanda english#cassie and kat kellerman#[month ended]
march#demi jessica#jenna jamison#dana dicillo#heidi wheeler#jenna michelle
april#blair snell#sharae spears #chernise yvette#chelsea co#[month ended]
may#heather bauer#britney arianna#jia lynn#kristi lynn#[month ended]
june#crystal enloe#lexi lombardelli#katie anderson#tasha nicole#bryleigh rayne
july#nikki ryann#brittany sylvanowicz#debbie beal#kristen smith#[month ended]
august#anissa holmes#shannon bettencourt#alinna d penta#kristina jarvis#[month ended]
september#stephanie emma#elizabeth taylor#rebecca lynn#stephanie strong#samantha dunn
october#jennifer kohut#ashley lowe#jennifer lewis#jane taylor#[month ended]
november#jayden tyler#lauren d'marie#ashley sey#lynn delarosa#[month ended]
