game#date#opponent#score#location#attendance#record#points
26#december 1# montreal canadiens#3–0#bell centre#21273#7–12–7#21
27#december 3# columbus blue jackets#6–3#nationwide arena#13825#8–12–7#23
28#december 5# boston bruins#2–7#td garden#17565#8–13–7#23
29#december 7#atlanta thrashers#5–2#air canada centre#19050#9–13–7#25
30#december 9#new york islanders#3–2#air canada centre#19102#10–13–7#27
31#december 10# boston bruins#2–5#td garden#17565#10–14–7#27
32#december 12#washington capitals#6–3#air canada centre#19316#11–14–7#29
33#december 14#ottawa senators#3–2#air canada centre#19315#12–14–7#31
34#december 16#phoenix coyotes#3–6#air canada centre#19088#12–15–7#31
35#december 18# buffalo sabres#2–5#hsbc arena#18159#12–16–7#31
36#december 19#boston bruins#2–0#air canada centre#19101#13–16–7#33
37#december 21#buffalo sabres#2–3 (ot)#air canada centre#19235#13–16–8#34
38#december 23# new york islanders#1–3#nassau veterans memorial coliseum#10865#13–17–8#34
39#december 26#montreal canadiens#2–3 (ot)#air canada centre#19250#13–17–9#35
40#december 27# pittsburgh penguins#4–3#mellon arena#17132#14–17–9#37
