name#gp - gs#gain#loss#long#avg / g
asbury , chris#9–6#3#0#3#0.3
babb , justin#11–7#644#23#41#56.5
bush , chris#11–7#86#9#24#7.0
collins , donnell#1#0#16#0#- 16.0
curry , kurvin#10–5#613#191#33#42.2
denson , armond#10–2#12#0#9#1.2
hollinger , deleon#9–5#5#0#5#0.6
jackson , timothy#5–0#91#16#17#15.0
johnson , dan#4–4#0#8#0#- 2.0
kilcrease , jacorey#6–1#59#28#14#5.2
lenton , antonio#9–0#81#5#16#8.4
russell , rashard#9–0#385#2#45#42.6
studdard , daniel#5–0#115#0#38#23.0
talley , deron#9–6#3#0#3#0.3
team#4–0#0#3#0#- 0.8
webster , brandon#1#0#18#0#- 18.0
williams , derek#3#9#0#9#3.0
total#11#2103#319#45#162.2
opponents#11#2061#323#43#158.0
