rank#name#wins#losses#pct
1#connie mack#3731#3948#.486
2#john mcgraw#2763#1948#.586
3#tony la russa#2728#2365#.536
4#bobby cox#2504#2001#.556
5#joe torre#2326#1997#.538
6#sparky anderson#2194#1834#.545
7#bucky harris#2158#2219#.493
8#joe mccarthy#2125#1333#.615
9#walter alston#2040#1613#.558
10#leo durocher#2008#1709#.540
11#casey stengel#1905#1842#.508
12#gene mauch#1902#2037#.483
13#bill mckechnie#1896#1723#.524
14#lou piniella#1835#1713#.517
15#jim leyland#1769#1728#.506
16#dusty baker#1671#1504#.526
17#ralph houk#1619#1531#.514
18#fred clarke#1602#1181#.576
19#tommy lasorda#1599#1439#.526
20#dick williams#1571#1451#.520
21#bruce bochy#1530#1530#.500
22#clark griffith#1493#1376#.520
23#earl weaver#1480#1060#.583
24#miller huggins#1413#1134#.555
25#al lopez#1410#1004#.584
26#jimmy dykes#1406#1541#.477
27#wilbert robinson#1399#1398#.500
28#davey johnson#1372#1071#.562
29#chuck tanner#1352#1381#.495
30#ned hanlon#1313#1164#.530
31#cap anson#1295#947#.578
32#charlie grimm#1287#1067#.547
33#frank selee#1284#862#.598
34#whitey herzog#1281#1125#.532
35#billy martin#1253#1013#.553
36#bill rigney#1239#1321#.484
37#joe cronin#1236#1055#.540
38#mike scioscia#1233#1035#.544
39#harry wright#1225#885#.581
40#mike hargrove#1188#1173#.503
41#bobby valentine#1186#1165#.504
42#hughie jennings#1184#995#.543
43#buck showalter#1163#1095#.515
44#lou boudreau#1162#1224#.487
45#john mcnamara#1160#1233#.485
46#tom kelly#1140#1244#.478
47#frankie frisch#1138#1078#.514
48#art howe#1129#1137#.498
49#terry francona#1121#985#.532
50#danny murtaugh#1115#950#.540
51#frank robinson#1065#1176#.475
52#jack mckeon#1051#990#.515
53#billy southworth#1044#704#.597
54#red schoendienst#1041#955#.522
55#steve o'neill#1040#821#.559
56#felipe alou#1033#1021#.503
57#jim fregosi#1028#1095#.484
58#chuck dressen#1008#973#.509
59#charlie manuel#1000#826#.548
