round#pick#player#nationality#college
1#5#charles barkley#united states#auburn
1#10#leon wood#united states#california state - fullerton
1#22#tom sewell#united states#lamar
3#48#james banks#united states#georgia
3#68#butch graves#united states#yale
4#91#earl harrison#united states#morehead state
5#114#dan federman#united states#tennessee
6#137#gary springer#united states#iona
7#160#rich congo#united states#drexel
8#183#franks dobbs#united states#villanova
9#205#michael mitchell#united states#drexel
10#227#martin clark#united states#boston college
