rank#country#2009#2010#2011
1#china#8038 , 703#8651 , 831#9174 , 280
2#italy#8242 , 500#7787 , 800#7115 , 500
3#united states#6629 , 198#6777 , 731#6756 , 449
4#france#6101 , 525#5794 , 433#6588 , 904
5#spain#5535 , 333#6107 , 617#5809 , 315
6#turkey#4264 , 720#4255 , 000#4296 , 351
7#chile#2600 , 000#2903 , 000#3149 , 380
8#argentina#2181 , 567#2616 , 613#2750 , 000
9#iran#2305 , 000#2225 , 000#2240 , 000
10#australia#1797 , 012#1684 , 345#1715 , 717
â€”#world#58521 , 410#58292 , 101#58500 , 118
source : un food & agriculture organization#source : un food & agriculture organization#source : un food & agriculture organization#source : un food & agriculture organization#source : un food & agriculture organization
