country#exports#imports#total trade#trade balance
united arab emirates#36265.15#38436.47#74701.61#- 2171.32
china#13503.00#54324.04#67827.04#- 40821.04
united states#36152.30#24343.73#60496.03#11808.57
saudi arabia#9783.81#34130.50#43914.31#- 24346.69
switzerland#1116.98#29915.78#31032.76#- 28798.80
singapore#13608.65#7754.38#21363.03#5854.27
germany#7244.63#14373.91#21618.54#- 7129.28
hong kong#12278.31#8078.58#20356.89#4199.74
indonesia#5331.47#14774.27#20105.75#- 9442.80
iraq#1278.13#20155.94#21434.07#- 18877.81
japan#6099.06#12514.07#18613.14#- 6415.01
belgium#5506.63#10087.16#15593.80#- 4580.53
kuwait#1060.80#16569.63#17630.43#- 15508.83
iran#3351.07#11603.79#14954.86#- 8252.72
