date#score#set 1#set 2#set 3#total
21 may#3 - 0#25 - 20#25 - 10#25 - 17#75 - 47
21 may#3 - 2#19 - 25#25 - 21#23 - 25#111 - 109
22 may#1 - 3#25 - 22#16 - 25#20 - 25#82 - 97
22 may#0 - 3#22 - 25#21 - 25#26 - 28#69 - 78
23 may#0 - 3#19 - 25#18 - 25#24 - 26#61 - 76
23 may#3 - 0#25 - 15#26 - 24#25 - 17#76 - 56
24 may#3 - 2#27 - 25#24 - 26#18 - 25#113 - 116
24 may#0 - 3#21 - 25#18 - 25#18 - 25#57 - 75
25 may#1 - 3#25 - 15#17 - 25#20 - 25#76 - 90
25 may#2 - 3#25 - 23#23 - 25#21 - 25#105 - 106
