dates#tournament#prize fund ( ￥ )#winner#owgr pts
apr 12 - 15#token homemate cup#110000 , 000#yui ueda (1)#16
apr 19 - 22#tsuruya open#100000 , 000#brendan jones (6)#16
apr 26 - 29#the crowns#120000 , 000#hirofumi miyase (7)#18
may 10 - 13#japan pga championship#130000 , 000#toshimitsu izawa (16)#16
may 17 - 20#munsingwear open ksb cup#100000 , 000#ryo ishikawa (amateur)#16
may 24 - 27#mitsubishi diamond cup golf#110000 , 000#tetsuji hiratsuka (4)#16
may 31 - jun 3#jcb classic#100000 , 000#tomohiro kondo (3)#16
jun 21 - 24#gateway to the open mizuno open yomiuri classic#130000 , 000#lee dong - hwan (1)#16
jun 28 - jul 1#japan golf tour championship#150000 , 000#shingo katayama (22)#16
jul 5 - 8#woodone open hiroshima#100000 , 000#toru taniguchi (12)#16
jul 12 - 15#nagashima shigeo invitational sega sammy cup#150000 , 000#toru taniguchi (13)#16
aug 2 - 5#sun chlorella classic#150000 , 000#jun kikuchi (1)#16
aug 23 - 26#kbc augusta#100000 , 000#katsumasa miyamoto (6)#16
aug 30 - sep 2#fujisankei classic#150000 , 000#hideto tanihara (5)#16
sep 6 - 9#suntory open#100000 , 000#hideto tanihara (6)#16
sep 13 - 16#ana open#100000 , 000#norio shinozaki (1)#16
sep 27 - 30#coca - cola tokai classic#120000 , 000#camilo villegas (n / a)#16
oct 11 - 14#japan open golf championship#200000 , 000#toru taniguchi (14)#32
oct 18 - 21#bridgestone open#110000 , 000#shingo katayama (23)#16
oct 25 - 28#abc championship#120000 , 000#frankie miñoza (7)#18
nov 8 - 11#mitsui sumitomo visa taiheiyo masters#150000 , 000#brendan jones (7)#26
nov 15 - 18#dunlop phoenix#200000 , 000#ian poulter (n / a)#36
nov 22 - 25#casio world open#140000 , 000#taichi teshima (6)#20
nov 29 - dec 2#golf nippon series jt cup#100000 , 000#brendan jones (8)#20
