longitude အင်္သာ#sign ရာသီ#sanskrit#latin#ruling planet ရာသီခွင်
0°#meittha မိဿ#meṣha मेष#aries#mars
30°#pyeittha ပြိဿ#vṛiṣabha वृषभ#taurus#venus
60°#mehton မေထုန်#mithuna मिथुन#gemini#mercury
90°#karakat ကရကဋ်#karkaṭa कर्कट#cancer#moon
120°#thein သိဟ်#siṃha सिंह#leo#sun
150°#kan ကန်#kanyā कन्या#virgo#mercury
180°#tu တူ#tulā तुला#libra#venus
210°#byeissa ဗြိစ္ဆာ#vṛścika वृश्चिक#scorpio#mars
240°#danu ဓနု#dhanuṣa धनुष#sagittarius#jupiter
270°#makara မကာရ#makara मकर#capricorn#saturn
300°#kon ကုံ#kumbha कुम्भ#aquarius#saturn
330°#mein မိန်#mīna मीन#pisces#jupiter
