game#date#opponent#score#location#record
70#march 2#atlanta hawks#107 - 130#philadelphia spectrum#9 - 61
71#march 4#atlanta hawks#130 - 138#omni coliseum#9 - 62
72#march 7#new york knicks#94 - 120#philadelphia spectrum#9 - 63
73#march 9#n chicago bulls#84 - 104#(hershey , pa)#9 - 64
74#march 10#seattle supersonics#96 - 106#philadelphia spectrum#9 - 65
75#march 11#n golden state warriors#93 - 97#(pittsburgh , pa)#9 - 66
76#march 14#phoenix suns#114 - 120#philadelphia spectrum#9 - 67
77#march 17#baltimore bullets#115 - 120#philadelphia spectrum#9 - 68
78#march 18#baltimore bullets#118 - 129#baltimore civic center#9 - 69
79#march 20#cleveland cavaliers#105 - 131#cleveland arena#9 - 70
80#march 21#cleveland cavaliers#109 - 112#philadelphia spectrum#9 - 71
81#march 23#houston rockets#112 - 132#philadelphia spectrum#9 - 72
82#march 25#n detroit pistons#96 - 115#(pittsburgh , pa)#9 - 73
