nsg nr#name of the nature reserve#district / town#area (ha)#date established
1#nord - sylt#nordfriesland#1.785 , 87#19800523 23.05.1980
2#os bei süderbrarup#schleswig - flensburg#26 , 88#20030812 12.08.2003
3#oehe - schleimünde bird sanctuary#schleswig - flensburg#366 , 04#19870714 14.07.1987
4#salemer moor and surrounding woods and lakes#herzogtum lauenburg#690 , 56#20060705 05.07.2006
5#hamburger hallig#nordfriesland#501 , 74#19300416 16.04.1930
6#tetenhusen moor#schleswig - flensburg#208 , 80#19320303 03.03.1932
8#geltinger birk#schleswig - flensburg#767 , 58#19861223 23.12.1986
9#kampener vogelkoje on sylt#nordfriesland#9 , 91#19350318 18.03.1935
10#nordspitze amrum on the island of amrum#nordfriesland#67 , 84#19361029 29.10.1936
11#sorgwohld#rendsburg - eckernförde#39 , 16#19361106 06.11.1936
13#fröruper berge#schleswig - flensburg#85 , 71#19361202 02.12.1936
14#wattenmeer north of the hindenburg dyke#nordfriesland#626 , 70#19821111 02.12.1936
15#düne am treßsee#schleswig - flensburg#10 , 27#19370520 20.05.1937
16#rickelsbüller koog#nordfriesland#517 , 09#19821111 11.11.1982
17#grüner brink#ostholstein#140 , 37#19891222 22.12.1989
18#reher kratt#steinburg#15 , 23#19380131 31.01.1938
19#herrenmoor bei kleve#steinburg#219 , 89#19851223 23.12.1985
20#wittmoor#dithmarschen#249 , 04#19921125 25.11.1992
21#lütjenholmer heidedünen#nordfriesland#18 , 46#19380222 22.02.1938
22#heathland near kellinghusen#steinburg#15 , 30#19380302 02.03.1938
23#hahnheide#stormarn#1.375 , 49#19380302 02.03.1938
24#düne am rimmelsberg#schleswig - flensburg#6 , 21#19380620 20.06.1938
25#lebrade pond bird sanctuary#plön#144 , 09#19380618 18.06.1938
26#bordelum heath and langenhorn heath and environs#nordfriesland#196 , 94#19911216 16.12.1991
27#kleve#dithmarschen#13 , 07#19621108 08.11.1962
28#süderlügumer binnendünen#nordfriesland#39 , 33#19381107 07.11.1938
29#peninsula and bights in the lanker see#plön#209 , 43#19950117 17.01.1995
30#barker heide#segeberg#629 , 57#20030612 12.06.2003
31#pobüller bauernholz#schleswig - flensburg#4 , 44#19390301 01.03.1939
32#barkauer see and environs#ostholstein#134 , 77#19821111 11.11.1982
33#süderberge near süderlügum#nordfriesland#9 , 10#19381107 07.11.1938
34#haseldorfer binnenelbe mit elbvorland#pinneberg#2.060 , 66#19870412 12.04.1987
36#löwenstedter sandberge#nordfriesland#14 , 54#19390710 10.07.1939
37#bottsand#plön#90 , 27#19871105 05.11.1987
38#heidmoor#segeberg#68 , 76#19910902 16.12.1991
39#hechtmoor#schleswig - flensburg#34 , 37#19410902 02.09.1941
40#groß wittenseer moor#rendsburg - eckernförde#15 , 73#19420225 25.02.1942
41#kaltenhofer moor#rendsburg - eckernförde#52 , 23#19420225 25.02.1942
42#weißenhäuser brök#ostholstein#59 , 17#19420819 19.08.1942
43#halloher moor , brandsheide and könster moor#segeberg#50 , 20#19421209 09.12.1942
44#ihlsee und ihlwald#segeberg#42 , 16#19500321 21.03.1950
45#dithmarscher eidervorland mit watt#dithmarschen , nordfriesland#794 , 67#19891222 22.12.1989
46#haithabu - dannewerk#schleswig - flensburg#88 , 10#19520922 22.09.1952
47#hoisdorfer teiche#stormarn#29 , 89#19871120 20.11.1987
48#neßsand#pinneberg#10 , 99#19520830 30.08.1952
49#bokelhomer fischteiche#rendsburg - eckernförde#368 , 00#19930430 30.04.1993
50#westufer des s einfelder see#stadt neumünster#12 , 39#19871112 12.11.1987
51#ascheberger warder im großen plöner see#plön#10 , 67#19550426 26.04.1955
52#dellstedter birkwildmoor#dithmarschen#618 , 58#19570123 23.01.1957
53#kleiner binnensee and adjacent salt meadows#plön#108 , 49#19570225 25.02.1957
54#methhorstteich and rümlandteich#rendsburg - eckernförde#45 , 21#19570920 20.09.1957
55#dummersdorfer ufer#stadt lübeck#337 , 08#19911213 13.12.1991
57#eichkratt schirlbusch#nordfriesland#12 , 17#19590220 20.02.1959
58#wesseker see#ostholstein#238 , 58#19610203 03.02.1961
59#bewerlohmoor#segeberg#2 , 75#19610206 06.02.1961
60#rantumbecken#nordfriesland#566 , 77#19831129 29.11.1983
62#lummenfelsen der insel helgoland#pinneberg#1 , 07#19640508 08.05.1964
63#esprehmer moor#schleswig - flensburg#37 , 54#19650729 29.07.1965
64#ahrenviölfelder westermoor#nordfriesland#66 , 44#19891024 24.10.1989
65#wulfsfelder moor#segeberg#6 , 33#19620727 27.07.1962
66#geschendorfer moor#segeberg#11 , 81#19660217 17.02.1966
67#schwarzberger moor#nordfriesland#17 , 40#19660217 17.02.1966
68#lundtop#schleswig - flensburg#13 , 92#19670608 08.06.1967
69#graswarder heiligenhafen#ostholstein#228 , 49#19871229 29.12.1987
70#tröndelsee und umgebung#stadt kiel#28 , 25#19830926 26.09.1983
71#erlenbruch#nordfriesland#4 , 71#19680802 02.08.1968
72#schwansmoor und kranichmoor#nordfriesland#80 , 16#19680801 01.08.1968
73#morsum - kliff#nordfriesland#43 , 20#19680809 09.08.1968
74#stellbrookmoor#segeberg#34 , 69#19681014 14.10.1968
75#er amrum dünen#nordfriesland#711 , 46#19710319 19.03.1971
76#oberalsterniederung#segeberg , stormarn#907 , 90#20040707 07.07.2004
77#oldensworter vorland#nordfriesland#265 , 54#19931216 16.12.1993
78#er rantum dünen / sylt#nordfriesland#349 , 88#19731202 02.12.1973
79#hörnum - odde / sylt#nordfriesland#66 , 67#19721202 02.12.1972
81#mittlerer stocksee und umgebung#segeberg#96 , 44#19741202 03.04.1974
82#ahrensviöler südermoor#nordfriesland#7 , 24#19721202 02.12.1972
83#delver koog#dithmarschen#190 , 07#19760924 24.09.1976
84#rixdorfer teich und umgebung#plön#115 , 29#19740329 29.03.1974
85#wester - spätinge#nordfriesland#27 , 04#19780209 09.02.1978
86#nordfriesisches wattenmeer#nordfriesland#4.495 , 78#19820823 23.08.1982
87#reesholm / schlei#schleswig - flensburg#117 , 36#19760830 30.08.1976
88#pugumer see und umgebung#schleswig - flensburg#89 , 72#19780105 05.01.1978
89#wallnau / fehmarn#ostholstein#298 , 55#19771223 23.12.1977
90#krummsteert - sulsdorfer wiek / fehmarn#ostholstein#342 , 45#19801009 09.10.1980
91#helgoländer felssockel#pinneberg#5.467 , 11#19810424 24.04.1981
92#brenner moor#stormarn#22 , 84#19781020 20.10.1978
93#nordteil des s selenter see und umgebung#plön#760 , 22#19781115 15.11.1978
94#seedorfer see und umgebung#segeberg#177 , 68#19780213 13.01.1978
95#stellmoor - ahrensburger tunneltal#stormarn#334 , 05#19820816 16.08.1982
96#nielönn / sylt#nordfriesland#67 , 39#19790305 05.03.1979
97#er braderup heide / sylt#nordfriesland#127 , 23#19790305 05.03.1979
98#baakdeel - rantum / sylt#nordfriesland#202 , 96#19790305 05.03.1979
99#dünenlandschaft auf dem roten kliff / sylt#nordfriesland#151 , 42#19790305 05.03.1979
100#nienwohlder moor#segeberg , stormarn#455 , 11#19820325 25.03.1982
101#weißes moor#dithmarschen#50 , 91#19790403 03.04.1979
102#fröslev - jardelunder moor#schleswig - flensburg#224 , 55#19841215 30.05.1984
103#inseln im großen plöner see und halbinsel störland#plön#260 , 28#19921125 25.11.1992
104#bültsee und umgebung#rendsburg - eckernförde#57 , 41#19820603 03.06.1982
105#bewaldete düne bei noer#rendsburg - eckernförde#46 , 09#19810717 17.07.1981
106#hansdorfer brook#stormarn#264 , 59#19810708 08.07.1981
107#überschwemmungswiesen jägerslust#rendsburg - eckernförde#16 , 21#19821229 05.10.1982
108#sehlendorfer binnensee und umgebung#plön#226 , 79#19891222 22.12.1989
109#wittmoor#segeberg , stormarn#106 , 31#19811008 08.10.1981
110#dosenmoor#stadt neumünster , plön , rendsburg - eckernförde#546 , 11#19880318 18.03.1988
111#baggersee hohenfelde#steinburg#23 , 35#19851223 23.12.1985
112#schellbruch#stadt lübeck#147 , 16#19811130 30.11.1981
113#borstgrasrasen bei alt mölln#herzogtum lauenburg#11 , 96#19851223 23.12.1985
114#schwentine oxbow lake (altarm der schwentine)#plön#18 , 85#19840827 27.08.1984
115#kossautal#plön#105 , 73#19841231 31.12.1984
116#barsbeker see und umgebung#plön#148 , 49#19820914 14.09.1982
117#fuhlensee und umgebung#plön#41 , 71#19831215 15.12.1983
118#aalbek - niederung#ostholstein#310 , 19#19841231 31.12.1984
119#neustädter binnenwasser#ostholstein#276 , 19#19841231 31.12.1984
120#schulensee und umgebung#rendsburg - eckernförde , stadt kiel#65 , 30#19860731 31.07.1986
121#mühlenbachtal bei trittau#stormarn#92 , 40#19860605 05.06.1986
122#billetal#herzogtum lauenburg , stormarn#190 , 36#19870814 14.08.1987
123#baggerkuhle gribbohm#steinburg#18 , 84#19861223 23.12.1986
124#kronenloch / speicherkoog dithmarschen#dithmarschen#532 , 38#19851223 23.12.1985
125#wöhrdener loch / speicherkoog dithmarschen#dithmarschen#496 , 96#19941216 16.12.1994
126#schwansener see#rendsburg - eckernförde#202 , 00#19871229 29.12.1987
127#oldenburger see und umgebung#herzogtum lauenburg#123 , 14#19860924 24.09.1986
130#hellbachtal mit lottsee , krebssee und schwarzsee#herzogtum lauenburg#163 , 62#19870722 22.07.1987
131#moorgebiet kranika#stormarn#95 , 74#19931216 16.12.1993
132#lübbersdorfer kiesgrube#ostholstein#9 , 94#19891222 22.12.1989
133#talhänge bei göttin#herzogtum lauenburg#71 , 05#19900329 29.03.1990
134#trendelmoor#herzogtum lauenburg#12 , 60#19871120 20.11.1987
135#dannauer see und umgebung#plön#43 , 47#19930420 20.04.1993
136#grüne insel mit eiderwatt#dithmarschen , nordfriesland#981 , 10#19891215 15.12.1989
137#tal der langballigau#schleswig - flensburg#129 , 53#19901213 13.12.1990
138#holmmoor#pinneberg#110 , 06#19940322 22.03.1994
139#eschschallen im seestermüher vorland#pinneberg#277 , 71#19910402 02.04.1991
140#ahrensee und nordöstlicher westensee#rendsburg - eckernförde#116 , 75#19880519 19.05.1988
141#wennebeker moor und wennebekniederung#rendsburg - eckernförde#368 , 00#19930430 30.04.1993
142#hohes elbufer zwischen tesperhude und lauenburg#herzogtum lauenburg#468 , 53#19930112 12.01.1993
143#besenhorster sandberge und elbsandwiesen#herzogtum lauenburg#150 , 59#19931214 14.12.1993
144#alte sorge - schleife#schleswig - flensburg#658 , 88#19910919 19.09.1991
145#wildes moor bei schwabstedt#nordfriesland#636 , 55#19921125 25.11.1992
146#beltringharder koog#nordfriesland#3.372 , 68#19911219 19.12.1991
147#buttermoor / butterbargsmoor#pinneberg#109 , 05#19921214 14.12.1992
148#liether kalkgrube#pinneberg#15 , 51#19911018 18.10.1991
149#fieler moor#dithmarschen#258 , 26#19931216 16.12.1993
150#büchener sander#herzogtum lauenburg#100 , 52#19901212 12.12.1990
151#ehemalige baggergrube östlich basedow#herzogtum lauenburg#57 , 41#19911216 16.12.1991
152#ufer mechower see#herzogtum lauenburg#30 , 62#19921104 04.11.1992
153#eichenkratt und kiesgrube südlich böxlund#schleswig - flensburg#23 , 02#19901213 13.12.1990
155#halbinsel holnis#schleswig - flensburg#364 , 87#19930430 30.04.1993
156#hohner see#rendsburg - eckernförde#368 , 00#19930430 30.04.1993
157#strandseelandschaft bei schmoel#plön#54 , 76#19901212 12.12.1990
158#ehemaliger fuhlensee#dithmarschen#22 , 76#19901214 14.12.1990
159#culpiner see#herzogtum lauenburg#28 , 76#19931008 08.10.1993
160#ufer lankower see , grammsee und umgebung#herzogtum lauenburg#188 , 76#19941108 08.11.1994
161#tävsmoor / haselauer moor#pinneberg#154 , 27#19950418 18.04.1995
162#ufer goldensee und umgebung#herzogtum lauenburg#50 , 23#19930924 24.09.1993
163#elbinsel pagensand#pinneberg#528 , 25#19970509 09.05.1997
164#rhinplate und elbufer südlich glückstadt#steinburg#473 , 60#20001205 05.12.2000
165#dalbekschlucht#herzogtum lauenburg#74 , 65#19941222 22.12.1994
166#stapelfelder moor#stormarn#15 , 34#19951106 06.11.1995
167#heidkoppelmoor und umgebung#stormarn#62 , 46#19950519 19.05.1995
168#lauenburger elbvorland#herzogtum lauenburg#56 , 33#19950812 12.08.1995
169#ostufer des s großen ratzeburger see#herzogtum lauenburg#237 , 66#20000302 02.03.2000
170#kasseedorfer teiche und umgebung#ostholstein#131 , 01#19960822 22.08.1996
171#spülflächen schachtholm#rendsburg - eckernförde#124 , 39#19950117 17.01.1995
172#kührener teich und umgebung#plön#78 , 55#19941221 21.12.1994
173#pantener moorweiher und umgebung#herzogtum lauenburg#146 , 79#19961220 20.12.1996
174#ehemaliger fieler see#dithmarschen#131 , 02#19981222 22.12.1998
175#oldenburger bruch#ostholstein#355 , 10#19981207 07.12.1998
176#steinerne rinne und mechower holz#herzogtum lauenburg#188 , 95#20040802 02.08.2004
177#wakenitz#herzogtum lauenburg , stadt lübeck#599 , 57#19990420 20.04.1999
178#südlicher priwall#stadt lübeck#147 , 20#19980819 19.08.1998
179#tönsheider wald#rendsburg - eckernförde#64 , 64#19951010 10.10.1995
180#ruppersdorfer see#ostholstein#74 , 26#19991109 09.11.1999
181#n middelburger see#ostholstein#118 , 74#19991209 09.12.1999
182#oberer herrenteich#stormarn#66 , 07#19991101 01.11.1999
183#höltigbaum#stormarn#285 , 49#19971215 15.12.1997
184#fockbeker moor#rendsburg - eckernförde#380 , 35#20020903 03.09.2002
186#twedter feld#stadt flensburg#89 , 18#20030320 20.03.2003
187#ammersbek - niederung#stormarn#328 , 42#20020529 29.05.2002
188#hevenbruch#herzogtum lauenburg#179 , 81#20030401 01.04.2003
