res#record#opponent#method#event#round#time#location
win#23 - 4#tomomi sunaba#decision (unanimous)#deep - 44th impact#2#5:00#tokyo , japan
win#22 - 4#lisa ellis#submission (armbar)#deep - toyama impact#3#2:53#toyama , japan
win#21 - 4#nicdali rivera - calanoc#tko (knees to the body)#deep - 41st impact#1#0:21#tokyo , japan
win#20 - 4#hikaru shinohara#submission (armbar)#deep - protect impact 2008#1#1:00#tokyo , japan
win#19 - 4#misaki takimoto#tko (kicks to the body)#deep - 37th impact#2#4:40#tokyo , japan
win#18 - 4#waenthong sakrungreong#technical submission (armbar)#deep - protect impact 2007#1#0:43#osaka , japan
win#17 - 4#yukiko seki#submission (kimura)#deep - clubdeep kanazawa#1#1:07#ishikawa , japan
win#16 - 4#masako yoshida#submission (armbar)#deep - clubdeep sendai#1#3:23#miyagi , japan
win#15 - 4#hisae watanabe#decision (majority)#deep - 31st impact#3#5:00#tokyo , japan
win#14 - 4#misaki takimoto#submission (armbar)#deep - clubdeep tokyo#1#4:32#tokyo , japan
win#13 - 4#seo hee ham#submission (triangle choke)#deep - clubdeep toyama : barbarian festival 6#2#3:44#toyama , japan
win#12 - 4#seri saito#submission (armbar)#deep - clubdeep toyama : barbarian festival 5#1#3:17#toyama , japan
loss#11 - 4#lisa ellis#submission (scarf hold armlock)#smackgirl - women hold their ground#1#3:04#tokyo , japan
win#11 - 3#carina damm#decision (unanimous)#mars 4 - new deal#2#5:00#tokyo , japan
loss#10 - 3#carina damm#technical submission (armbar)#mars - mars attack 1#2#1:17#tokyo , japan
win#10 - 2#yayoi okubo#submission (armbar)#deep - clubdeep toyama : barbarian festival 4#1#0:53#toyama , japan
win#9 - 2#yuki furudate#submission (rear naked choke)#deep - 23rd impact#1#2:52#tokyo , japan
loss#8 - 2#misaki takimoto#submission (armbar)#g - shooto 03#1#3:08#tokyo , japan
win#8 - 1#kazumi kaneko#tko (punches)#deep - clubdeep toyama : barbarian festival 3#1#0:18#toyama , japan
win#7 - 1#akiko inoue#decision (unanimous)#g - shooto - plus 03#2#5:00#tokyo , japan
win#6 - 1#ikuma shibata#submission (armbar)#w - face#1#0:33#tokyo , japan
win#5 - 1#hikaru shinohara#submission (armbar)#deep - clubdeep toyama : barbarian festival 2#1#1:44#toyama , japan
win#4 - 1#izumi noguchi#decision (unanimous)#g - shooto 02#2#5:00#tokyo , japan
win#3 - 1#yoko hattori#submission (armbar)#heat 1#1#2:38#aichi , japan
win#2 - 1#chihiro takahashi#submission (armbar)#g - shooto 01#1#3:48#tokyo , japan
loss#1 - 1#misaki takimoto#submission (armbar)#deep - clubdeep toyama : barbarian festival 1#1#4:45#toyama , japan
win#1 - 0#eri ishiyama#decision (unanimous)#cage force - cross section 2#2#5:00#tokyo , japan
