season#driver#team#engine#poles#wins#podiums#points#margin of defeat
1950#juan manuel fangio#alfa romeo#alfa romeo#4#3#3#27#3
1951#alberto ascari#ferrari#ferrari#2#2#3#25#6
1952#giuseppe farina#ferrari#ferrari#2#0#4#24#12
1953#juan manuel fangio#maserati#maserati#1#1#4#28#6.5
1954#josé froilán gonzález#ferrari#ferrari#1#1#4#25.14#16.86
1955#stirling moss#mercedes#mercedes#1#1#3#23#17
1956#stirling moss#maserati#maserati#1#2#3#27#3
1957#stirling moss#maserati vanwall#maserati vanwall#1#3#3#25#15
1958#stirling moss#cooper vanwall#climax vanwall#3#4#5#41#1
1959#tony brooks#ferrari#ferrari#2#2#4#27#4
1960#bruce mclaren#cooper#climax#0#1#6#34#9
1961#wolfgang von trips #ferrari#ferrari#1#2#4#33#1
1962#jim clark#lotus#climax#5#3#3#30#12
1963#graham hill#brm#brm#2#2#5#29#25
1964#graham hill#brm#brm#1#2#5#39#1
1965#graham hill#brm#brm#4#2#6#40#14
1966#john surtees#ferrari cooper#ferrari maserati#2#2#4#28#14
1967#jack brabham#brabham#repco#2#2#6#46#5
1968#jackie stewart#matra#ford#0#3#4#36#12
1969#jacky ickx#brabham#ford#2#2#5#37#26
1970#jacky ickx#ferrari#ferrari#4#3#5#40#5
1971#ronnie peterson#march#ford#0#0#5#33#29
1972#jackie stewart#tyrrell#ford#2#4#5#45#16
1973#emerson fittipaldi#lotus#ford#1#3#8#55#16
1974#clay regazzoni#ferrari#ferrari#1#1#7#52#3
1975#emerson fittipaldi#mclaren#ford#0#2#6#45#19.5
1976#niki lauda#ferrari#ferrari#3#5#9#68#1
1977#jody scheckter#wolf#ford#1#3#9#55#17
1978#ronnie peterson #lotus#ford#3#2#7#51#14
1979#gilles villeneuve#ferrari#ferrari#1#3#7#47#4
1980#nelson piquet#brabham#ford#2#3#6#54#13
1981#carlos reutemann#williams#ford#2#2#7#49#1
1982#didier pironi#ferrari#ferrari#2#2#6#39#5
1983#alain prost#renault#renault#3#4#7#57#2
1984#alain prost#mclaren#tag#3#7#9#71.5#0.5
1985#michele alboreto#ferrari#ferrari#1#2#8#53#20
1986#nigel mansell#williams#honda#2#5#9#70#2
1987#nigel mansell#williams#honda#8#6#7#61#15
1988#alain prost#mclaren#honda#2#7#14#87#3
1989#ayrton senna#mclaren#honda#13#6#7#60#16
1990#alain prost#ferrari#ferrari#0#5#9#71#7
1991#nigel mansell#williams#renault#2#5#9#72#24
1992#riccardo patrese#williams#renault#1#1#9#56#52
1993#ayrton senna#mclaren#ford#1#5#9#73#26
1994#damon hill#williams#renault#2#6#11#91#1
1995#damon hill#williams#renault#7#4#9#69#33
1996#jacques villeneuve#williams#renault#3#4#11#78#19
1997#heinz - harald frentzen #williams#renault#1#1#7#42#39
1998#michael schumacher#ferrari#ferrari#3#6#11#86#14
1999#eddie irvine#ferrari#ferrari#0#4#9#74#2
2000#mika häkkinen#mclaren#mercedes#5#4#11#89#19
2001#david coulthard#mclaren#mercedes#2#2#10#65#58
2002#rubens barrichello#ferrari#ferrari#3#4#10#77#67
2003#kimi räikkönen#mclaren#mercedes#2#1#10#91#2
2004#rubens barrichello#ferrari#ferrari#4#2#14#114#34
2005#kimi räikkönen#mclaren#mercedes#6#7#12#112#21
2006#michael schumacher#ferrari#ferrari#4#7#12#121#13
2007#lewis hamilton#mclaren#mercedes#6#4#12#109#1
2008#felipe massa#ferrari#ferrari#6#6#10#97#1
2009#sebastian vettel#red bull#renault#4#4#8#84#11
2010#fernando alonso#ferrari#ferrari#2#5#10#252#4
2011#jenson button#mclaren#mercedes#0#3#12#270#122
2012#fernando alonso#ferrari#ferrari#2#3#13#278#3
