res#record#opponent#method#round#time#location
win#18 - 8 (1)#irwing machado#submission (brabo choke)#1#1:25#ribeirão preto , são paulo , brazil
win#17 - 8 (1)#wellington oliveira#submission (rear naked choke)#1#4:22#ribeirão preto , são paulo , brazil
loss#16 - 8 (1)#keith wisniewski#decision (unanimous)#3#5:00#valparaiso , indiana , united states
loss#16 - 7 (1)#mike pyle#submission (guillotine choke)#3#2:15#oklahoma city , oklahoma , united states
loss#16 - 6 (1)#john howard#decision (split)#3#5:00#las vegas , nevada , united states
win#16 - 5 (1)#steve bruno#decision (unanimous)#3#5:00#minneapolis , minnesota , united states
loss#15 - 5 (1)#jon fitch#decision (unanimous)#3#5:00#columbus , ohio , united states
win#15 - 4 (1)#derrick noble#decision (unanimous)#3#5:00#portland , oregon , united states
win#14 - 4 (1)#ray steinbeiss#submission (armbar)#2#4:00#vancouver , british columbia , canada
win#13 - 4 (1)#rory markham#tko (punches)#1#2:14#uncasville , connecticut , united states
win#12 - 4 (1)#jay hieron#decision (unanimous)#3#4:00#portland , oregon , united states
loss#11 - 4 (1)#brad blackburn#decision (unanimous)#3#4:00#portland , oregon , united states
win#11 - 3 (1)#laverne clark#submission (triangle choke)#3#3:51#portland , oregon , united states
loss#10 - 3 (1)#nick thompson#submission (keylock)#2#2:08#fort lauderdale , florida , united states
win#10 - 2 (1)#pat healy#ko (knee)#1#1:28#portland , oregon , united states
win#9 - 2 (1)#cruz chacon#submission (triangle choke)#2#2:43#calgary , alberta , canada
win#8 - 2 (1)#dave garcia#submission (triangle choke)#1#1:49#las vegas , nevada , united states
win#7 - 2 (1)#brandon melendez#ko (punch)#1#2:30#gresham , oregon , united states
win#6 - 2 (1)#jerome isaacs#submission (triangle choke)#1#0:57#tacoma , washington , united states
win#5 - 2 (1)#damian hatch#tko (punches)#3#1:55#gresham , oregon , united states
loss#4 - 2 (1)#eddy ellis#decision (unanimous)#3#5:00#gresham , oregon , united states
nc#4 - 1 (1)#stale nyang#no contest#n / a#n / a#copenhagen , denmark
loss#4 - 1#cam ward#decision (split)#3#5:00#portland , oregon , united states
win#4 - 0#scott poyer#tko (punches)#1#0:16#lynnwood , washington , united states
win#3 - 0#chris young#submission (triangle choke)#1#1:03#lynnwood , washington , united states
win#2 - 0#joey rubio#tko (punches)#2#1:37#yakima , washington , united states
win#1 - 0#elder pyatt#ko (punch)#1#0:10#portland , oregon , united states
