game#date#opponent#result#hornets score#opponent score#record
1#october 30#utah#win#100#75#1 - 0
2#november 1#chicago#loss#79#84#1 - 1
3#november 2#miami#win#100#95#2 - 1
4#november 6#seattle#win#86#84#3 - 1
5#november 8#golden state#win#110#104#4 - 1
6#november 10#new york#win#97#91#5 - 1
7#november 12#detroit#loss#87#93#5 - 2
8#november 13#minnesota#win#102#98#6 - 2
9#november 15#chicago#win#105#87#7 - 2
10#november 16#atlanta#loss#82#89#7 - 3
11#november 19#philadelphia#win#99#98#8 - 3
12#november 22#new york#win#105#97#9 - 3
13#november 23#cleveland#win#97#84#10 - 3
14#november 25#philadelphia#loss#87#108#10 - 4
15#november 27#atlanta#win#106#94#11 - 4
16#november 30#new york#loss#86#92#11 - 5
17#december 1#boston#loss#86#95#11 - 6
18#december 3#chicago#win#115#90#12 - 6
19#december 4#toronto#win#89#74#13 - 6
20#december 6#houston#win#98#96#14 - 6
21#december 7#milwaukee#win#94#88#15 - 6
22#december 9#la clippers#loss#90#94#15 - 7
23#december 12#utah#win#93#88#16 - 7
24#december 13#la lakers#win#98#82#17 - 7
25#december 15#sacramento#loss#92#107#17 - 8
26#december 17#portland#loss#93#102#17 - 9
27#december 18#golden state#loss#106#111#17 - 10
28#december 20#seattle#win#88#86#18 - 10
29#december 23#san antonio#loss#94#99#18 - 11
30#december 26#dallas#loss#81#83#18 - 12
31#december 28#indiana#loss#84#91#18 - 13
32#december 29#houston#loss#85#97#18 - 14
33#december 31#indiana#loss#86#89#18 - 15
34#january 3#orlando#win#100#89#19 - 15
35#january 5#toronto#win#99#84#20 - 15
36#january 6#memphis#loss#102#106#20 - 16
37#january 8#boston#loss#83#93#20 - 17
38#january 10#detroit#loss#99#101#20 - 18
39#january 11#atlanta#loss#80#87#20 - 19
40#january 15#la lakers#loss#82#90#20 - 20
41#january 17#chicago#win#90#83#21 - 20
42#january 20#phoenix#win#114#103#22 - 20
43#january 22#washington#win#103#94#23 - 20
44#january 24#portland#loss#96#97#23 - 21
45#january 27#milwaukee#loss#93#108#23 - 22
46#january 29#toronto#win#104#83#24 - 22
47#january 31#new jersey#loss#72#89#24 - 23
48#february 1#washington#loss#104#109#24 - 24
49#february 3#boston#win#103#96#25 - 24
50#february 5#sacramento#win#108#84#26 - 24
51#february 11#miami#win#78#69#27 - 24
52#february 12#indiana#loss#72#83#27 - 25
53#february 14#minnesota#loss#93#114#27 - 26
54#february 16#denver#win#100#92#28 - 26
55#february 18#orlando#loss#94#99#28 - 27
56#february 19#washington#win#87#75#29 - 27
57#february 21#memphis#win#125#123#30 - 27
58#february 22#detroit#win#93#91#31 - 27
59#february 26#miami#win#91#82#32 - 27
60#february 28#denver#win#94#88#33 - 27
61#march 1#phoenix#win#97#92#34 - 27
62#march 3#la clippers#win#111#108#35 - 27
63#march 7#cleveland#win#102#76#36 - 27
64#march 9#new jersey#loss#92#102#36 - 28
65#march 11#indiana#win#81#71#37 - 28
66#march 12#boston#loss#65#93#37 - 29
67#march 14#miami#win#87#83#38 - 29
68#march 15#orlando#loss#86#96#38 - 30
69#march 19#new york#win#101#96#39 - 30
70#march 21#milwaukee#win#113#98#40 - 30
71#march 22#milwaukee#loss#85#93#40 - 31
72#march 26#orlando#loss#95#97#40 - 32
73#march 28#toronto#win#101#92#41 - 32
74#march 30#san antonio#loss#90#92#41 - 33
75#april 1#dallas#loss#86#95#41 - 34
76#april 2#new jersey#win#106#97#42 - 34
77#april 5#cleveland#loss#76#79#42 - 35
78#april 9#cleveland#win#100#81#43 - 35
79#april 11#detroit#win#93#89#44 - 35
80#april 13#philadelphia#win#94#89#45 - 35
81#april 14#new jersey#win#87#74#46 - 35
82#april 16#atlanta#win#92#77#47 - 35
1#april 20#philadelphia#loss#90#98#0 - 1
2#april 23#philadelphia#loss#85#90#0 - 2
3#april 26#philadelphia#win#99#85#1 - 2
4#april 28#philadelphia#loss#87#96#1 - 3
5#april 30#philadelphia#win#93#91#2 - 3
6#may 2#philadelphia#loss#103#107#2 - 4
