res#record#opponent#method#round#time#location
win#14 - 4#roxanne modafferi#decision (unanimous)#2#5:00#koto , tokyo , japan
loss#13 - 4#cat zingano#ko (slam)#3#4:42#denver , colorado , united states
loss#13 - 3#tara larosa#decision (unanimous)#5#5:00#atlantic city , new jersey , united states
loss#13 - 2#sarah kaufman#decision (unanimous)#5#5:00#san jose , california , united states
win#13 - 1#chisa yonezawa#submission (rear - naked choke)#2#1:43#tokyo , japan
win#12 - 1#amanda buckner#decision (unanimous)#3#5:00#los angeles , california , united states
win#11 - 1#hitomi akano#decision (unanimous)#3#5:00#tokyo , japan
win#10 - 1#hee jin lee#decision (unanimous)#2#5:00#tokyo , japan
win#9 - 1#sybil starr#submission (armbar)#1#2:47#tokyo , japan
win#8 - 1#miki morifuji#decision (unanimous)#2#5:00#tokyo , japan
win#7 - 1#kinuka sasaki#submission (rear - naked choke)#1#2:31#tokyo , japan
win#6 - 1#kazuma morohoshi#decision (unanimous)#2#5:00#tokyo , japan
loss#5 - 1#hitomi akano#submission (armbar)#1#1:19#tokyo , japan
win#5 - 0#yukari#decision (unanimous)#2#5:00#tokyo , japan
win#4 - 0#yoko hattori#decision (unanimous)#2#5:00#tokyo , japan
win#3 - 0#yumiko sugimoto#decision (unanimous)#2#5:00#tokyo , japan
win#2 - 0#mika harigai#submission (rear - naked choke)#2#4:28#tokyo , japan
win#1 - 0#natsuko kikukawa#decision (unanimous)#2#5:00#tokyo , japan
