model#max. motive power#max. torque at rpm#engine displacement#engine type#engine configuration & notes 0 - 100 km / h
2.0#ps ( kw ; hp )#n·m ( lbf·ft ) 4800#cc ( cuin )#b5202 fs#straight - 5 
2.0t#ps (kw; hp)#n·m (lbf·ft) 2100#cc (cuin)#b5204 t2#straight - 5 low pressure turbo 
2t5#ps (kw; hp)#n·m (lbf·ft) 2700#cc (cuin)#b5204 t3#straight - 5 high pressure turbo
2.4#ps (kw; hp)#n·m (lbf·ft) 4700#cc (cuin)#b5244 s#straight - 5 
2.5#ps (kw; hp)#n·m (lbf·ft) 3600#cc (cuin)#b5252 fs#straight - 5 
2.5t awd#ps (kw; hp)#n·m (lbf·ft) 1800#cc (cuin)#b5254 t#straight - 5 low pressure turbo 
base 2.4#ps (kw; hp)#n·m (lbf·ft) 3300#cc (cuin)#b5242 s#straight - 5
base 2.4 se#ps (kw; hp)#n·m (lbf·ft) 3300#cc (cuin)#b5244 s2#straight - 5
glt#ps (kw; hp)#n·m (lbf·ft) 1800#cc (cuin)#b5244 t2#straight - 5 low pressure turbo
2.4 awd#ps (kw; hp)#n·m (lbf·ft) 1800#cc (cuin)#b5244 t3#straight - 5 low pressure turbo
2.3 t5#ps (kw; hp)#n·m (lbf·ft) 2700#cc (cuin)#b5234 t3#straight - 5 high pressure turbo 
