island 's name#area (sq mi)#area (km 2 )#location#population (2000)
heceta island#70#181#alaska#14
niihau#70#180#hawaii#160
saipan#69#180#northern mariana islands#62392
tugidak island#69#180#alaska#0
hawkins island#67#175#alaska#4
yunaska island#67#172#alaska#0
sitkinak island#65#169#alaska#0
akun island#65#168#alaska#0
shuyak island#65#168#alaska#0
chuginadak island#65#167#alaska#0
sukkwan island#65#167#alaska#9
galveston island#64#166#texas#58175
matagorda island#61#157#texas#0
great sitkin island#60#156#alaska#0
staten island#59#153#new york#443728
deer island#58#152#alaska#0
duke island#57#149#alaska#- 1 ?
orcas island#57#148#washington#4453
cumberland island#57#147#georgia#0
san clemente island#57#147#california#0
uganik island#57#147#alaska#0
stuart island#56#145#alaska#0
hilton head island#55#144#south carolina#33862
beaver island#55#144#michigan#551
san juan island#55#143#washington#6822
suemez island#52#135#alaska#0
tutuila#52#135#american samoa#55876
esther island#52#133#alaska#31
vieques#51#132#puerto rico#9106
sanak island#50#128#alaska#0
sugar island#49#128#michigan#652
bois blanc island#49#127#michigan#71
nantucket#48#124#massachusetts#9520
kagalaska island#45#116#alaska#0
kaho ê» olawe#45#116#hawaii#0
long island#45#115#alaska#0
chirikof island#44#115#alaska#0
wadmalaw island#42#109#south carolina#2611
antelope island#42#109#utah#0
dolgoi island#41#107#alaska#0
fidalgo island#41#107#washington#20700
baker island#41#105#alaska#- 1 ?
camano island#40#105#washington#13358
saint paul island#40#104#alaska#532
sedanka island#40#103#alaska#0
tinian#39#102#northern mariana islands#3540
aquidneck island / rhode island#38#98#rhode island#60870
vashon island#37#96#washington#10123
tigalda island#35#91#alaska#0
saint george island#35#90#alaska#100
catherine island#34#87#alaska#0
hatteras island#34#86#north carolina#4001
sauvie island#33#85#oregon#1078
grand isle#32#82#vermont#3651
kent island#32#82#maryland#16812
pine island#32#82#florida#8235
saint thomas#31#81#u.s. virgin islands#51181
coronation island#30#78#alaska#0
lopez island#30#77#washington#2177
grand island#29#73#new york#18621
bainbridge island#28#72#washington#20308
gareloi island#26#67#alaska#0
madeline island#24#62#wisconsin#246
washington island#24#61#wisconsin#600
manhattan#23#60#new york#1537195
san nicolas island#23#59#california#0
marquette island#23#59#michigan#0
woronkofski island#23#59#alaska#0
grand island#22#58#michigan#45
north manitou island#22#58#michigan#0
neebish island#22#56#michigan#66
