colt model no#stock#fire control#rear sight#forward assist#barrel length#barrel profile#barrel twist#hand guards#bayonet lug#muzzle device
le1020#4th generation#s - 1#flattop#yes#16 in#m4#1:7#rail system#yes#a2
le1033#4th generation#s - 1#flattop#yes#11.5 in#a2#1:7#rail system#yes#a2
le6920#4th generation#s - 1#flattop#yes#16 in#m4#1:7#m4#yes#a2
le6920hb#4th generation#s - 1#flattop#yes#16 in#m4 hbar#1:7#m4#yes#a2
le6921#4th generation#s - 1#flattop#yes#14.5 in#m4#1:7#m4#yes#a2
le6921cqb#4th generation#s - 1#flattop#yes#10.5 in#m4 hbar#1:7#m4#yes#a2
le6921hb#4th generation#s - 1#flattop#yes#14.5 in#m4 hbar#1:7#m4#yes#a2
le6921sp#4th generation#s - 1#flattop#yes#10 in#m4 hbar#1:7#m4#yes#a2
le6933#4th generation#s - 1#flattop#yes#11.5 in#a2#1:7#short ribbed#yes#a2
le6940#4th generation#s - 1#flattop#yes#16 in#m4#1:7#monolithic rail system#yes#a2
le6941#4th generation#s - 1#flattop#yes#16 in#m4#1:7#rail system#yes#a2
