edition#round#date#against#surface#opponent#result
2009 fed cup europe / africa group ii#rr#22 - 24 april 2009#morocco#hard#fatima el allami#6 - 4 , 7 - 5
2009 fed cup europe / africa group ii#rr#22 - 24 april 2009#latvia#hard#anastasija sevastova#2 - 6 , 3 - 6
2009 fed cup europe / africa group ii#gii play - offs#25 april 2009#south africa#hard#natalie grandin#6 - 4 , 6 - 3
2010 fed cup europe / africa group i#rr#3 - 5 february 2010#croatia#hard#petra martić#4 - 6 , 1 - 6
2010 fed cup europe / africa group i#rr#3 - 5 february 2010#switzerland#hard#patty schnyder#2 - 6 , 4 - 6
2010 fed cup europe / africa group i#rr#3 - 5 february 2010#romania#hard#alexandra dulgheru#0 - 6 , 7 - 5 , 2 - 6
2010 fed cup europe / africa group i#gi play - offs#6 february 2010#bulgaria#hard#tsvetana pironkova#3 - 6 , 3 - 6
2011 fed cup europe / africa group ii#rr#4 - 6 may 2011#morocco#clay#fatima el allami#4 - 6 , 6 - 3 , 6 - 2
2011 fed cup europe / africa group ii#rr#4 - 6 may 2011#finland#clay#emma laine#7 - 6 (7 - 3) , 6 - 3
2011 fed cup europe / africa group ii#gii play - offs#7 may 2011#georgia#clay#sofia shapatava#3 - 6 , 6 - 4 , 7 - 6 (8 - 6)
2012 fed cup europe / africa group i#rr#1 - 3 february 2012#great britain#hard#elena baltacha#2 - 6 , 3 - 6
2012 fed cup europe / africa group i#rr#1 - 3 february 2012#israel#hard#shahar pe'er#6 - 2 , 6 - 1
2012 fed cup europe / africa group i#rr#1 - 3 february 2012#netherlands#hard#michaëlla krajicek#6 - 1 , 6 - 2
2012 fed cup europe / africa group i#gi play - offs#4 february 2012#bulgaria#hard#dia evtimova#6 - 1 , 6 - 1
2013 fed cup europe / africa group i#rr#7 - 9 february 2013#hungary#hard#tímea babos#6 - 3 , 5 - 7 , 5 - 7
2013 fed cup europe / africa group i#rr#7 - 9 february 2013#great britain#hard#heather watson#6 - 1 , 6 - 4
2013 fed cup europe / africa group i#rr#7 - 9 february 2013#bosnia and herzegovina#hard#jelena simic#6 - 3 , 3 - 6 , 6 - 2
