res#record#opponent#method#event#round#time#location
loss#13 - 11#alexandre bezerra#submission (ankle lock)#bellator 57#1#4:04#rama , ontario , canada
loss#13 - 10#antonio carvalho#decision (unanimous)#score fighting series#3#5:00#ontario , canada
loss#13 - 9#alexander sarnavskiy#submission (triangle choke)#profc - mayor 's cup 2011#1#2:40#khabarovsk , russia
win#13 - 8#maurice mitchell#submission (rear - naked choke)#alaska fighting championship 79 - champions#1#1325#alaska , united states
win#12 - 8#tristan johnson#submission (rear - naked choke)#w - 1 new ground#3#1:55#nova scotia , canada
loss#11 - 8#ronnie mann#decision (split)#shark fights 13#5#5:00#texas , united states
win#11 - 7#dustin phillips#submission (heel hook)#sf 9 - shark fights 9#1#2:25#texas , united states
loss#10 - 7#ian loveland#ko (head kick)#fitetime entertainment - arctic combat#5#0:09#alaska , united states
win#10 - 6#jesse kueber#tko (punches)#afc 66 - alaska fighting championship#1#2:08#alaska , united states
win#9 - 6#douglas frey#submission (guillotine choke)#sf 5 - shark fights 5#2#1:46#texas , united states
win#8 - 6#joel nettles#submission (ankle lock)#afc 58 - veterans collide#2#2:52#alaska , united states
loss#7 - 6#thierry quenneville#submission (armbar)#xmma 7 - inferno#2#1:48#quebec , canada
win#7 - 5#jared lopez#submission (armbar)#shark fights 1#1#1:09#texas , united states
loss#6 - 5#kajan johnson#submission (rear naked choke)#raw combat - resurrection#2#0:57#alberta , canada
loss#6 - 4#bao quach#tko (punches)#elitexc - shoxc#1#0:55#california , united states
loss#6 - 3#mark bocek#decision (unanimous)#ufc 79#3#5:00#nevada , united states
loss#6 - 2#roger huerta#tko (strikes)#the ultimate fighter 5 finale#2#3:30#nevada , united states
win#6 - 1#mike joy#decision (unanimous)#afc 35 - alaska fighting championship#3#5:00#alaska , united states
win#5 - 1#gary d'hue#tko#afc 33 - alaska fighting championship#2#2:46#alaska , united states
win#4 - 1#jimmy miller#decision (unanimous)#pfc - peninsula fight challenge 8#3#3:00#alaska , united states
win#3 - 1#josh branham#submission (strikes)#afc 30 - alaska fighting championship#1#2:10#alaska , united states
win#2 - 1#jesse brock#decision (unanimous)#afc 25 - alaska fighting championship#3#5:00#alaska , united states
win#1 - 1#gary mcelwain#submission (rear naked choke)#afc 23 - alaska fighting championship#1#1:55#alaska , united states
loss#0 - 1#tiki ghosn#submission (guillotine choke)#west coast nhb championships 2#1#n / a#california , united states
