rank#title#studio#director (s)#gross
1#star wars episode v : the empire strikes back#lucasfilm / 20th century fox#irvin kershner#$290475 , 067
2#9 to 5#20th century fox#colin higgins#$103290 , 500
3#stir crazy#columbia#sidney poitier#$101300 , 000
4#airplane#paramount#david zucker , jim abrahams and jerry zucker#$83453 , 539
5#any which way you can#warner bros#buddy van horn#$70687 , 344
6#private benjamin#warner bros#howard zieff#$69847 , 348
7#coal miner 's daughter#universal#michael apted#$67182 , 787
8#smokey and the bandit ii#rastar / universal#hal needham#$66132 , 626
9#the blue lagoon#columbia#randal kleiser#$58853 , 106
10#the blues brothers#universal#john landis#$57229 , 890
11#ordinary people#paramount#robert redford#$54766 , 923
12#popeye#paramount#robert altman#$49823 , 037
13#urban cowboy#paramount#james bridges#$46918 , 287
14#the shining#warner bros#stanley kubrick#$44017 , 374
15#seems like old times#rastar / columbia#jay sandrich#$43995 , 918
16#cheech & chong 's next movie#universal#tommy chong#$41675 , 194
17#caddyshack#orion / warner bros#harold ramis#$39846 , 344
18#friday the 13th#paramount#sean s. cunningham#$39754 , 601
19#brubaker#20th century fox#stuart rosenberg#$37121 , 708
20#little darlings#paramount#ronald f. maxwell#$34326 , 249
21#dressed to kill#filmways#brian de palma#$31899 , 000
22#the jazz singer#associated film distribution#richard fleischer and sidney j. furie#$27118 , 000
23#flash gordon#universal#mike hodges#$27107 , 960
24#the elephant man#paramount#david lynch#$26010 , 864
25#bronco billy#warner bros#clint eastwood#$24265 , 659
26#raging bull#united artists#martin scorsese#$23334 , 953
27#xanadu#universal#robert greenwald#$22762 , 571
28#american gigolo#paramount#paul schrader#$22743 , 674
29#my bodyguard#20th century fox#tony bill#$22482 , 952
30#the fog#avco embassy#john carpenter#$21378 , 361
31#fame#united artists / mgm#alan parker#$21202 , 829
32#tess#columbia#roman polanski#$20093 , 330
33#altered states#warner bros#ken russell#$19853 , 892
34#cruising#lorimar / united artists#william friedkin#$19784 , 223
35#the octagon#american cinema#eric karson#$18971 , 000
36#honeysuckle rose#warner bros#jerry schatzberg#$17815 , 212
37#herbie goes bananas#disney#vincent mceveety#$17000 , 000
38#rough cut#paramount#don siegel#$16656 , 125
39#the final countdown#united artists#don taylor#$16647 , 800
40#the hunter#rastar / paramount#buzz kulik#$16274 , 150
41#hero at large#mgm / united artists#martin davidson#$15934 , 737
42#the long riders#united artists#walter hill#$15795 , 189
43#the island#universal#michael ritchie#$15716 , 828
