city / municipality#date of creation#area (km 2 )#population (2010)#income classification ( dof )
baungon#july 1 , 1956#175.86#32868#2nd class municipality
cabanglasan#august 13 , 1979#209.00#32427#3rd class municipality
damulog#august 16 , 1971#245.66#25538#4th class municipality
dangcagan#august 29 , 1961#115.15#22448#3rd class municipality
don carlos#june 18 , 1966#157.02#64334#1st class municipality
impasug - ong#september 1 , 1914#1071.67#43587#1st class municipality
kadingilan#august 16 , 1971#172.06#31756#3rd class municipality
kalilangan#june 18 , 1966#153.59#39847#2nd class municipality
kibawe#july 1 , 1956#214.35#35767#2nd class municipality
kitaotao#june 18 , 1966#150.74#49488#1st class municipality
lantapan#june 18 , 1966#240.76#55934#1st class municipality
libona#july 1 , 1956#244.95#39393#1st class municipality
malaybalay city#march 22 , 1998#984.38#153085#1st class component city
malitbog#june 25 , 1963#260.53#22880#2nd class municipality
manolo fortich#june 21 , 1957#506.64#91026#1st class municipality
maramag#july 1 , 1956#351.72#90901#1st class municipality
pangantucan#june 25 , 1963#343.34#48775#1st class municipality
quezon#june 18 , 1966#409.41#94584#1st class municipality
san fernando#june 18 , 1966#638.63#50207#1st class municipality
sumilao#july 1 , 1956#207.49#25668#4th class municipality
talakag#1917#833.70#67123#1st class municipality
