episode#airdate#reward#immunity#eliminated#vote#finish
1#07 - 23 - 2000#lua#lua#hilca#5 - 1#1st voted out day 3
2#07 - 30 - 2000#sol#lua#amendoim#4 - 1#2nd voted out day 6
3#08 - 06 - 2000#sol#lua#marcus#3 - 1#3rd voted out day 9
4#08 - 13 - 2000#sol#sol#chico#3 - 3#4th voted out day 12
5#08 - 20 - 2000#none#lua#ilma#2 - 1#5th voted out day 15
6#08 - 27 - 2000#andréa#andréa#jefferson#3 - 2 - 2#6th voted out day 18
7#09 - 03 - 2000#elaine juliana pipa#elaine juliana pipa#vanderson#4 - 1 - 1#7th voted out day 21
7#09 - 03 - 2000#elaine juliana pipa#elaine juliana pipa#thiago#2 - 1#8th voted out day 21
8#09 - 10 - 2000#none#elaine pipa#juliana#no vote#9th voted out day 22
8#09 - 10 - 2000#none#elaine pipa#andréa#no vote#10th voted out day 22
8#09 - 10 - 2000#final trial#final trial#pipa#no vote#runner - up
