category#frequency#white#brown#black#amerindian#yellow#total#difference between white and black
branca (white)#54.28%#98 , 96%#0 , 73%#0 , 11%#0 , 07%#0 , 14%#100 , 00%#98 , 85
loira (blonde)#0.05%#95 , 24%#0 , 00%#4 , 76%#0 , 00%#0 , 00%#100 , 00%#90 , 48
brasileira (brazilian)#0.12%#91 , 20%#6 , 05%#2 , 27%#0 , 00%#0 , 47%#100 , 00%#88 , 93
branca + (adjectivated white)#0.14%#86 , 47%#9 , 62%#0 , 00%#3 , 91%#0 , 00%#100 , 00%#86 , 47
clara (of light colour)#0.78%#86 , 40%#11 , 93%#0 , 35%#0 , 14%#1 , 18%#100 , 00%#86 , 05
galega (galician)#0.01%#70 , 99%#19 , 78%#0 , 00%#0 , 00%#9 , 23%#100 , 00%#70 , 99
castanha (brown)#0.01%#63 , 81%#36 , 19%#0 , 00%#0 , 00%#0 , 00%#100 , 00%#63 , 81
morena clara (light morena)#2.92%#38 , 35%#57 , 12%#1 , 46%#2 , 27%#0 , 81%#100 , 00%#36 , 89
jambo#0.02%#14 , 47%#77 , 96%#2 , 39%#5 , 18%#0 , 00%#100 , 00%#12 , 08
morena#20.89%#13 , 75%#76 , 97%#6 , 27%#2 , 62%#0 , 38%#100 , 00%#7 , 48
mestiã§a , mista (miscigenated , mixed)#0.08%#17 , 29%#59 , 44%#14 , 96%#7 , 60%#0 , 70%#100 , 00%#2 , 33
parda (brown)#10.40%#1 , 03%#97 , 25%#1 , 40%#0 , 21%#0 , 10%#100 , 00%#- 0 , 37
sararã¡#0.04%#9 , 09%#60 , 14%#23 , 25%#0 , 00%#7 , 53%#100 , 00%#- 14 , 16
canela (of the colour of cinammon)#0.01%#11 , 13%#57 , 55%#26 , 45%#4 , 87%#0 , 00%#100 , 00%#- 15 , 32
mulata (mulatto)#0.81%#1 , 85%#71 , 53%#25 , 26%#1 , 37%#0 , 00%#100 , 00%#- 23 , 41
marrom , chocolate (brown , chocolate)#0.03%#4 , 56%#57 , 30%#38 , 14%#0 , 00%#0 , 00%#100 , 00%#- 33 , 58
morena escura (dark morena)#0.45%#2 , 77%#54 , 80%#38 , 05%#4 , 15%#0 , 24%#100 , 00%#- 35 , 28
escura (of dark colour)#0.38%#0 , 59%#16 , 32%#81 , 67%#1 , 42%#0 , 00%#100 , 00%#- 81 , 08
negra (black)#3.14%#0 , 33%#6 , 54%#92 , 62%#0 , 50%#0 , 02%#100 , 00%#- 92 , 29
preta (black)#4.26%#0 , 37%#1 , 73%#97 , 66%#0 , 17%#0 , 06%#100 , 00%#- 97 , 29
