grand prix#pole position#fastest lap#winning driver#winning constructor#report
australian grand prix#sebastian vettel#felipe massa#sebastian vettel#red bull - renault#report
malaysian grand prix#sebastian vettel#mark webber#sebastian vettel#red bull - renault#report
chinese grand prix#sebastian vettel#mark webber#lewis hamilton#mclaren - mercedes#report
turkish grand prix#sebastian vettel#mark webber#sebastian vettel#red bull - renault#report
spanish grand prix#mark webber#lewis hamilton#sebastian vettel#red bull - renault#report
monaco grand prix#sebastian vettel#mark webber#sebastian vettel#red bull - renault#report
canadian grand prix#sebastian vettel#jenson button#jenson button#mclaren - mercedes#report
european grand prix#sebastian vettel#sebastian vettel#sebastian vettel#red bull - renault#report
british grand prix#mark webber#fernando alonso#fernando alonso#ferrari#report
german grand prix#mark webber#lewis hamilton#lewis hamilton#mclaren - mercedes#report
hungarian grand prix#sebastian vettel#felipe massa#jenson button#mclaren - mercedes#report
belgian grand prix#sebastian vettel#mark webber#sebastian vettel#red bull - renault#report
italian grand prix#sebastian vettel#lewis hamilton#sebastian vettel#red bull - renault#report
singapore grand prix#sebastian vettel#jenson button#sebastian vettel#red bull - renault#report
japanese grand prix#sebastian vettel#jenson button#jenson button#mclaren - mercedes#report
korean grand prix#lewis hamilton#sebastian vettel#sebastian vettel#red bull - renault#report
indian grand prix#sebastian vettel#sebastian vettel#sebastian vettel#red bull - renault#report
abu dhabi grand prix#sebastian vettel#mark webber#lewis hamilton#mclaren - mercedes#report
brazilian grand prix#sebastian vettel#mark webber#mark webber#red bull - renault#report
