game#february#opponent#score#record#points
54#2#tampa bay lightning#1 - 2#26 - 12 - 11 - 5#68
55#4#washington capitals#5 - 1#27 - 12 - 11 - 5#70
56#5#atlanta thrashers#5 - 1#28 - 12 - 11 - 5#72
57#10#new jersey devils#4 - 1#29 - 12 - 11 - 5#74
58#12#new york rangers#2 - 1#30 - 12 - 11 - 5#76
59#14#new york rangers#6 - 2#31 - 12 - 11 - 5#78
60#16#san jose sharks#2 - 5#31 - 13 - 11 - 5#78
61#17#tampa bay lightning#2 - 5#31 - 14 - 11 - 5#78
62#19#boston bruins#3 - 4#31 - 15 - 11 - 5#78
63#21#atlanta thrashers#5 - 4#32 - 15 - 11 - 5#80
64#24#chicago blackhawks#3 - 1#33 - 15 - 11 - 5#82
65#26#ottawa senators#1 - 1 ot#33 - 15 - 12 - 5#83
66#28#boston bruins#2 - 3 ot#33 - 15 - 12 - 6#84
67#29#detroit red wings#2 - 4#33 - 16 - 12 - 6#84
