place#player#country#score#to par
t1#seve ballesteros#spain#69 + 74 + 69 = 212#- 1
t1#tom watson#united states#72 + 70 + 70 = 212#- 1
t3#larry nelson#united states#75 + 73 + 65 = 213#e
t3#calvin peete#united states#75 + 68 + 70 = 213#e
5#raymond floyd#united states#72 + 70 + 72 = 214#+ 1
6#gil morgan#united states#73 + 72 + 70 = 215#+ 2
t7#andy north#united states#73 + 71 + 72 = 216#+ 3
t7#hal sutton#united states#73 + 70 + 73 = 216#+ 3
t9#ralph landrum#united states#75 + 73 + 69 = 217#+ 4
t9#roger maltbie#united states#76 + 72 + 69 = 217#+ 4
t9#scott simpson#united states#73 + 71 + 73 = 217#+ 4
