year#competition#date#location#score#result
2000#americas zone group i , round robin#25 apr#florianópolis (bra)#3 - 0#win
2000#americas zone group i , round robin#27 apr#florianópolis (bra)#3 - 0#win
2000#americas zone group i , round robin#28 apr#florianópolis (bra)#3 - 0#win
2000#americas zone group i , round robin#29 apr#florianópolis (bra)#2 - 1#win
2000#americas zone group i , final#29 apr#florianópolis (bra)#1 - 2#loss
2001#americas zone group i , round robin#24 apr#montevideo (uru)#3 - 0#win
2001#americas zone group i , round robin#25 apr#montevideo (uru)#3 - 0#win
2001#americas zone group i , round robin#26 apr#montevideo (uru)#2 - 1#win
2001#americas zone group i , final#28 apr#montevideo (uru)#1 - 2#loss
2002#americas zone group i , round robin#23 apr#san luis potosí (mex)#3 - 0#win
2002#americas zone group i , round robin#24 apr#san luis potosí (mex)#3 - 0#win
2002#americas zone group i , round robin#25 apr#san luis potosí (mex)#3 - 0#win
2002#americas zone group i , final#27 apr#san luis potosí (mex)#2 - 0#win
2002#world group , relegation play - offs#20 - 21 jul#přerov (cze)#0 - 5#loss
2003#americas zone group i , round robin#23 apr#campinas (bra)#3 - 0#win
2003#americas zone group i , round robin#24 apr#campinas (bra)#3 - 0#win
2003#americas zone group i , round robin#25 apr#campinas (bra)#3 - 0#win
2003#americas zone group i , final#26 apr#campinas (bra)#2 - 0#win
2003#world group , relegation play - offs#19 - 20 jul#neudörfl (aut)#1 - 4#loss
2004#americas zone group i , round robin#19 apr#porto seguro (bra)#3 - 0#win
2004#americas zone group i , round robin#21 apr#porto seguro (bra)#3 - 0#win
2004#americas zone group i , round robin#22 apr#porto seguro (bra)#2 - 1#win
2004#americas zone group i , round robin#23 apr#porto seguro (bra)#2 - 0#win
2004#americas zone group i , final#24 apr#porto seguro (bra)#2 - 0#win
2004#world group , relegation play - offs#10 - 11 jul#dorval (can)#2 - 3#loss
2005#americas zone group i , round robin#20 apr#carrasco (uru)#3 - 0#win
2005#americas zone group i , round robin#21 apr#porto seguro (bra)#3 - 0#win
2005#americas zone group i , round robin#22 apr#porto seguro (bra)#3 - 0#win
2005#americas zone group i , final#23 apr#porto seguro (bra)#0 - 2#loss
2006#americas zone group i , round robin#19 apr#medellín (col)#3 - 0#win
2006#americas zone group i , round robin#20 apr#medellín (col)#3 - 0#win
2006#americas zone group i , round robin#21 apr#medellín (col)#3 - 0#win
2006#americas zone group i , final#22 apr#medellín (col)#3 - 0#win
2006#world group ii , relegation play - offs#15 - 16 jul#edmonton (can)#3 - 2#win
2007#world group ii , 1st round#21 - 22 apr#kamloops (can)#2 - 3#loss
2007#world group ii , relegation play - offs#14 - 15 jul#córdoba (arg)#1 - 4#loss
2008#americas zone group i , round robin#31 jan#medellín (col)#3 - 0#win
2008#americas zone group i , round robin#1 feb#medellín (col)#1 - 2#loss
2008#americas zone group i , third to fourth play - offs#2 feb#medellín (col)#3 - 0#win
2009#americas zone group i , round robin#5 feb#montreal (can)#3 - 0#win
2009#americas zone group i , round robin#6 feb#montreal (can)#3 - 0#win
2009#americas zone group i , final#7 feb#montreal (can)#3 - 0#win
2009#world group ii , relegation play - offs#25 - 26 apr#hasselt (bel)#2 - 3#loss
