date#visitor#score#home#leading scorer#record
1 february 2006#nets#85 - 91#cavaliers#lebron james (26)#27 - 17
2 february 2006#cavaliers#73 - 101#heat#lebron james (29)#27 - 18
4 february 2006#sixers#100 - 95#cavaliers#lebron james (31)#27 - 19
6 february 2006#bucks#86 - 89#cavaliers#lebron james (22)#28 - 19
8 february 2006#cavaliers#97 - 91#timberwolves#lebron james (35)#29 - 19
10 february 2006#cavaliers#89 - 101#wizards#lebron james (18)#29 - 20
11 february 2006#warriors#99 - 91#cavaliers#lebron james (33)#29 - 21
13 february 2006#spurs#87 - 101#cavaliers#lebron james (44)#30 - 21
15 february 2006#cavaliers#113 - 109#celtics#lebron james (43)#31 - 21
21 february 2006#magic#92 - 105#cavaliers#lebron james (26)#32 - 21
22 february 2006#cavaliers#107 - 116#sixers#lebron james (33)#32 - 22
24 february 2006#wizards#102 - 94#cavaliers#lebron james (25)#32 - 23
26 february 2006#cavaliers#78 - 90#pistons#lebron james (22)#32 - 24
27 february 2006#pistons#84 - 72#cavaliers#lebron james (26)#32 - 25
