rider#manufacturer#laps#time / retired#grid
gábor talmácsi#aprilia#19#42:50.831#2
tomoyoshi koyama#ktm#19#+ 6.753#6
héctor faubel#aprilia#19#+ 7.793#1
joan olivé#aprilia#19#+ 8.180#8
sergio gadea#aprilia#19#+ 8.947#11
lukáš pešek#derbi#19#+ 9.935#7
simone corsi#aprilia#19#+ 10.132#5
mattia pasini#aprilia#19#+ 10.335#10
bradley smith#honda#19#+ 23.426#15
alexis masbou#honda#19#+ 24.808#12
nicolás terol#derbi#19#+ 24.909#13
pablo nieto#aprilia#19#+ 26.194#9
stefan bradl#aprilia#19#+ 29.490#19
mike di meglio#honda#19#+ 29.775#18
esteve rabat#honda#19#+ 31.011#17
stefano bianco#aprilia#19#+ 35.455#24
randy krummenacher#ktm#19#+ 35.829#23
andrea iannone#aprilia#19#+ 54.666#21
lorenzo zanetti#aprilia#19#+ 56.956#26
simone grotzkyj#aprilia#19#+ 57.356#30
roberto tamburini#aprilia#19#+ 1:05.426#20
danny webb#honda#19#+ 1:08.541#25
robert muresan#derbi#19#+ 1:08.549#31
joey litjens#honda#19#+ 1:19.477#27
cyril carrillo#honda#19#+ 1:22.382#29
stevie bonsey#ktm#19#+ 1:30.374#28
ferruccio lamborghini#aprilia#19#+ 1:33.736#33
raffaele de rosa#aprilia#19#+ 1:41.013#14
dino lombardi#honda#18#retirement#32
sandro cortese#aprilia#18#retirement#3
pol espargaró#aprilia#15#accident#4
dominique aegerter#aprilia#5#retirement#22
michael ranseder#derbi#0#accident#16
