athlete name#jump 1#jump 2#jump 3#best jump
gregory bell ( usa )#6.98#7.83#7.77#7.83 m
john bennett ( usa )#7.68#7.61#x#7.68 m
jorma valkama ( fin )#7.11#x#7.48#7.48 m
dmitriy bondarenko ( urs )#7.44#x#7.13#7.44 m
karim olowu ( ngr )#7.28#6.77#7.36#7.36 m
kazimierz kropidlowski ( pol )#7.27#6.92#7.30#7.30 m
neville price ( rsa )#x#7.28#x#7.28 m
oleg fyodoseyev ( urs )#x#7.25#7.27#7.27 m
arthur gruttenden ( gbr )#7.15#x#6.96#7.15 m
henryk grabowski ( pol )#x#x#7.15#7.15 m
ken wilmshurst ( gbr )#7.14#7.06#7.05#7.14 m
fermã­n donazar ( uru )#x#x#6.57#6.57 m
igor ter - ovanesian ( urs )#x#x#x#no mark
