area name#area headquarters#area president (quorum)#first counselor (quorum)#second counselor (quorum)
africa southeast#johannesburg , south africa#dale g. renlund ( 1 st )#carl b. cook (1 st)#kevin s. hamilton ( 2nd )
africa west#accra , ghana#legrand r. curtis jr. (1 st)#terrence m. vinson (2nd)#edward dube (1 st)
asia#hong kong , china#gerrit w. gong (1 st)#larry y. wilson (2nd)#randy d. funk (2nd)
asia north#tokyo , japan#michael t. ringwood (1 st)#koichi aoyagi (2nd)#scott d. whiting (1 st)
brazil#são paulo , brazil#claudio r.m. costa (1 st)#jairo mazzagardi (2nd)#eduardo gavarret (1 st)
caribbean#santo domingo , dominican republic#wilford w. andersen (2nd)#j. devn cornish (2nd)#claudio d. zivic (1 st)
central america#guatemalacity , guatemala#carlos h. amado (1 st)#kevin r. duncan (1 st)#adrian ochoa (2nd)
europe#frankfurt , germany#josé a. teixeira (1 st)#patrick kearon (1 st)#timothy j. dyches (2nd)
europe east#moscow , russia#larry r. lawrence (2nd)#randall k. bennett (2nd)#per g. malm (2nd)
idaho#salt lake city , utah#donald l. hallstrom (presidency)#donald l. hallstrom (presidency)#donald l. hallstrom (presidency)
mexico#mexico city , mexico#daniel l. johnson (1 st)#benjamín de hoyos (1 st)#arnulfo valenzuela (1 st)
middle east / africa north#salt lake city , utah#bruce d. porter (1 st) , bruce a. carlson (2nd)#bruce d. porter (1 st) , bruce a. carlson (2nd)#bruce d. porter (1 st) , bruce a. carlson (2nd)
north america central#salt lake city , utah#craig c. christensen (presidency)#craig c. christensen (presidency)#craig c. christensen (presidency)
north america northeast#salt lake city , utah#donald l. hallstrom (presidency)#donald l. hallstrom (presidency)#donald l. hallstrom (presidency)
north america northwest#salt lake city , utah#richard j. maynes (presidency)#richard j. maynes (presidency)#richard j. maynes (presidency)
north america southeast#salt lake city , utah#ulisses soares (presidency)#ulisses soares (presidency)#ulisses soares (presidency)
north america southwest#salt lake city , utah#tad r. callister (president)#tad r. callister (president)#tad r. callister (president)
north america west#salt lake city , utah#richard j. maynes (president)#richard j. maynes (president)#richard j. maynes (president)
pacific#auckland , new zealand#james j. hamula (1 st)#kevin w. pearson (1 st)#o. vincent haleck (2nd)
philippines#manila , philippines#brent h. nielson (1 st)#ian s. ardern (1 st)#larry j. echo hawk (1 st)
south america northwest#bogotá , colombia#juan a. uceda (1 st)#w. christopher waddell (1 st)#c. scott grow (1 st)
south america south#buenos aires , argentina#walter f. gonzález (1 st)#jorge f. zeballos (1 st)#francisco j. viñas (1 st)
utah north#salt lake city , utah#l. whitney clayton (presidency)#l. whitney clayton (presidency)#l. whitney clayton (presidency)
utah salt lake city#salt lake city , utah#l. whitney clayton (presidency)#l. whitney clayton (presidency)#l. whitney clayton (presidency)
utah south#salt lake city , utah#l. whitney clayton (presidency)#l. whitney clayton (presidency)#l. whitney clayton (presidency)
