rank#matches as champion#reigns as champion#title matches won#title last held
1#103#20#86#28 march 2007
2#88#21#73#20 june 2000
3#70#12#57#15 october 2013
4#65#9#49#11 july 2010
5#50#6#41#23 february 2000
6#37#7#29#12 july 1998
7#36#9#27#17 june 2000
8#34#6#25#28 march 2001
9#30#7#28#6 february 2013
10#30#9#27#22 august 2007
11#27#7#17#10 september 2008
12#24#5#17#7 september 2010
13#23#5#15#31 march 2004
14#20#7#17#current champions
15#16#2#12#16 june 1968
16#16#1#11#15 november 2011
17#14#7#10#26 june 1994
18#13#8#12#14 september 1988
19#13#3#8#31 january 1995
20#13#4#11#30 march 1982
21#13#1#10#23 january 2013
22#12#2#11#24 may 2008
23#11#2#7#5 december 1979
24#11#4#7#22 june 1982
25#10#4#8#23 may 2006
26#9#3#6#4 september 1985
27#8#4#5#14 october 1933
28#8#1#7#27 march 2005
29#8#1#7#8 october 2005
30#7#4#5#17 january 1990
31#6#1#5#4 september 1963
32#5#3#5#31 may 1995
33#5#2#3#29 may 2004
34#5#3#5#20 april 1994
35#5#2#4#7 may 1989
36#4#2#4#16 november 2005
37#3#2#2#4 june 1992
38#3#2#3#23 august 1989
39#3#1#2#22 august 1965
40#3#2#2#14 june 1992
41#2#1#2#24 march 2007
42#2#1#1#26 april 2000
43#2#1#1#17 october 2007
44#1#1#1#24 march 1963
45#1#1#1#18 october 2006
46#1#1#1#4 february 1995
47#1#1#1#18 june 1992
48#1#1#1#28 march 1963
