date#visitor#score#home#leading scorer#attendance#record
january 2 , 2008#hornets#95 - 81#clippers#corey maggette (20)#14965#10 - 20
january 6 , 2008#spurs#82 - 88#clippers#chris kaman (20)#16623#10 - 21
january 9 , 2008#magic#113 - 106#clippers#corey maggette (27)#15091#10 - 22
january 12 , 2008#mavericks#95 - 94#clippers#tim thomas (21)#16494#10 - 23
january 15 , 2008#suns#97 - 90#clippers#sam cassell (32)#16063#11 - 23
january 18 , 2008#clippers#88 - 106#jazz#corey maggette (20)#19911#11 - 24
january 19 , 2008#nets#107 - 120#clippers#corey maggette (31)#18691#12 - 24
january 21 , 2008#jazz#109 - 93#clippers#corey maggette (23)#16318#12 - 25
january 23 , 2008#kings#85 - 111#clippers#al thornton (23)#15513#13 - 25
january 25 , 2008#clippers#92 - 111#hornets#corey maggette (24)#13538#13 - 26
january 26 , 2008#clippers#120 - 125#grizzlies#corey maggette (35)#11072#13 - 27
january 28 , 2008#bobcats#107 - 100#clippers#tim thomas (29)#14429#13 - 28
january 30 , 2008#hawks#88 - 95#clippers#al thornton (33)#14874#14 - 28
