species#strain#type#base pairs#genes
azoarcus sp#ebn1#betaproteobacteria#4296 , 230#4128
bordetella bronchiseptica#rb50#betaproteobacteria#5339 , 179#5006
bordetella parapertussis#12822#betaproteobacteria#4773 , 551#4402
bordetella pertussis#tohamai#betaproteobacteria#4086 , 189#3806
burkholderia cenocepacia#au1054#betaproteobacteria#3294 , 563#2965
unspecified#unspecified#betaproteobacteria#2788 , 459#2472
unspecified#unspecified#betaproteobacteria#1196 , 094#1040
burkholderia mallei#atcc23344#betaproteobacteria#3510 , 148#2996
unspecified#unspecified#betaproteobacteria#2325 , 379#2029
burkholderia pseudomallei#1710b#betaproteobacteria#4126 , 292#3736
unspecified#unspecified#betaproteobacteria#3181 , 762#2611
burkholderia pseudomallei#k96243#betaproteobacteria#4074 , 542 (chromosome i) 3173 , 005 (chromosome ii)#3460 (chromosome i) 2395 (chromosome ii)
burkholderia species#383#betaproteobacteria#3694 , 126#3334
unspecified#unspecified#betaproteobacteria#3587 , 082#3174
unspecified#unspecified#betaproteobacteria#1395 , 069#1209
burkholderia thailandensis#e264#betaproteobacteria#3809 , 201#3276
unspecified#unspecified#betaproteobacteria#2914 , 771#2358
burkholderia xenovorans#lb400#betaproteobacteria#4895 , 836#4430
unspecified#unspecified#betaproteobacteria#3363 , 523#2960
unspecified#unspecified#betaproteobacteria#1471 , 779#1312
chromobacterium violaceum#atcc12472#betaproteobacteria#4751 , 080#4407
dechloromonas aromatica#rcb#betaproteobacteria#4501 , 104#4171
methylobacillus flagellatus#kt#betaproteobacteria#2971 , 517#2753
neisseria gonorrhoeae#fa1090#betaproteobacteria#2153 , 922#2002
neisseria meningitidis#serogroup a strain z2491#betaproteobacteria#2184 , 406#2121
neisseria meningitidis#serogroup b strain mc58#betaproteobacteria#2272 , 360#2063
nitrosomonas europaea#schmidt#betaproteobacteria#2812 , 094#2574
nitrosospira multiformis#atcc25196#betaproteobacteria#3184 , 243#2757
polaromonas species#js666#betaproteobacteria#5200 , 264#4817
ralstonia eutropha#jmp134#betaproteobacteria#3806 , 533#3439
unspecified#unspecified#betaproteobacteria#2726 , 152#2407
ralstonia metallidurans#ch34#betaproteobacteria#3928 , 089#3601
unspecified#unspecified#betaproteobacteria#2580 , 084#2313
ralstonia solanacearum#gmi1000#betaproteobacteria#3716 , 413#3441
unspecified#unspecified#betaproteobacteria#2094 , 509#1679
rhodoferax ferrireducens#dsm15236#betaproteobacteria#4712 , 337#4170
thiobacillus denitrificans#atcc25259#betaproteobacteria#2909 , 809#2827
