year#winners#grand finalist#scores#venue#crowd#margin#season result
1977#hawthorn#carlton#14.11 (95) - 11.5 (71)#waverley park#27407#24#preliminary finalist
1978#fitzroy#north melbourne#13.18 (96) - 2.8 (20)#waverley park#26420#76#9th
1979#collingwood#hawthorn#12.8 (80) - 7.10 (52)#waverley park#37753#28#grand finalist
1980#north melbourne#collingwood#8.9 (57) - 7.12 (54)#waverley park#50478#3#elimination finalist
1981#essendon#carlton#9.11 (65) - 6.5 (41)#waverley park#42269#24#elimination finalist
1982#sydney swans#north melbourne#13.12 (90) - 8.10 (58)#waverley park#20028#32#7th
1983#carlton#richmond#14.16 (100) - 10.6 (66)#waverley park#32927#34#elimination finalist
1984#essendon#sydney swans#13.11 (89) - 5.8 (38)#waverley park#30824#51#premier
1985#hawthorn#essendon#11.11 (77) - 10.8 (68)#waverley park#24812#9#grand finalist
1986#hawthorn#carlton#9.12 (66) - 5.6 (36)#waverley park#19627#30#premier
1987#melbourne#essendon#8.10 (58) - 8.6 (54)#waverley park#26860#4#preliminary finalist
