locomotive#pre - conversion#entered service (t)#re - entered service (p)#owner
p11#t336#9 may 1956#5 june 1984#v / line passenger
p12#t329#18 june 1956#7 june 1984#v / line passenger
p13#t340#30 october 1956#10 july 1984#v / line passenger
p14#t330#2 july 1956#1 august 1984#v / line passenger
p15#t344#9 december 1956#22 october 1984#v / line passenger
p16#t332#22 july 1956#23 november 1984#v / line passenger
p17#t327#28 may 1956#19 december 1984#v / line passenger
p18#t339#7 october 1956#15 february 1985#v / line passenger
p19#t331#2 july 1956#26 march 1985#pacific national - rural and bulk
p20#t337#23 september 1956#29 may 1985#pacific national - rural and bulk
p21#t338#23 september 1956#27 june 1985#pacific national - rural and bulk
p22#t328#18 june 1956#11 september 1985#pacific national - rural and bulk
p23#t326#28 may 1956#11 september 1985#pacific national - rural and bulk
